Vehice ID,Charger ID,Local Connect Time,Local Disconnect Time,Local Charge Start Time,Local Charge End Time,Average Power,Max Power,Total Energy Delivered ,Starting SOC,Ending SOC
EV016-EV021,CH003,,,7/26/2019 0:29,7/26/2019 1:08,9.6,9.6,6.24,,
EV016-EV021,CH003,,,7/25/2019 21:02,7/26/2019 0:28,9.6,9.6,32.97,,
EV016-EV021,CH003,,,7/24/2019 21:28,7/25/2019 1:36,9.6,9.6,39.7,,
EV016-EV021,CH003,,,7/23/2019 20:59,7/23/2019 21:10,9.6,9.6,1.76,,
EV016-EV021,CH003,,,7/23/2019 15:11,7/23/2019 19:13,9.6,9.6,38.73,,
EV016-EV021,CH003,,,7/16/2019 19:12,7/16/2019 19:25,9.6,9.6,2.08,,
EV016-EV021,CH003,,,7/16/2019 13:32,7/16/2019 17:20,9.6,9.6,36.49,,
EV016-EV021,CH003,,,7/10/2019 16:55,7/10/2019 20:58,9.6,9.6,38.88,,
EV016-EV021,CH003,,,7/9/2019 17:21,7/9/2019 19:44,9.6,9.6,22.88,,
EV016-EV021,CH003,,,7/8/2019 14:51,7/8/2019 17:14,9.6,9.6,22.88,,
EV016-EV021,CH003,,,7/8/2019 13:01,7/8/2019 13:02,9.6,9.6,0.16,,
EV016-EV021,CH003,,,7/7/2019 17:54,7/7/2019 18:02,9.6,9.6,1.28,,
EV016-EV021,CH003,,,7/7/2019 16:15,7/7/2019 16:26,9.6,9.6,1.76,,
EV016-EV021,CH003,,,7/7/2019 14:38,7/7/2019 14:59,9.6,9.6,3.36,,
EV016-EV021,CH003,,,7/6/2019 20:06,7/6/2019 20:16,9.6,9.6,1.6,,
EV016-EV021,CH003,,,7/6/2019 17:55,7/6/2019 18:05,9.6,9.6,1.6,,
EV016-EV021,CH003,,,7/6/2019 16:33,7/6/2019 16:49,9.6,9.6,2.56,,
EV016-EV021,CH003,,,7/6/2019 15:14,7/6/2019 15:29,9.6,9.6,2.4,,
EV016-EV021,CH003,,,7/6/2019 13:56,7/6/2019 14:11,9.6,9.6,2.4,,
EV016-EV021,CH003,,,7/6/2019 12:24,7/6/2019 12:40,9.6,9.6,2.56,,
EV016-EV021,CH003,,,7/5/2019 19:39,7/5/2019 19:51,9.6,9.6,1.92,,
EV016-EV021,CH003,,,7/5/2019 17:29,7/5/2019 17:40,9.6,9.6,1.76,,
EV016-EV021,CH003,,,7/5/2019 16:07,7/5/2019 16:21,9.6,9.6,2.24,,
EV016-EV021,CH003,,,7/5/2019 14:28,7/5/2019 15:00,9.6,9.6,5.12,,
EV016-EV021,CH003,,,7/4/2019 18:28,7/4/2019 18:40,9.6,9.6,1.92,,
EV016-EV021,CH003,,,7/4/2019 16:04,7/4/2019 16:16,9.6,9.6,1.92,,
EV016-EV021,CH003,,,7/4/2019 14:31,7/4/2019 14:48,9.6,9.6,2.72,,
EV016-EV021,CH003,,,7/3/2019 20:55,7/4/2019 0:40,9.6,9.6,36,,
EV016-EV021,CH003,,,7/2/2019 17:43,7/2/2019 17:51,9.6,9.6,1.28,,
EV016-EV021,CH003,,,7/2/2019 15:58,7/2/2019 16:11,9.6,9.6,2.08,,
EV016-EV021,CH003,,,7/2/2019 14:05,7/2/2019 14:23,9.6,9.6,2.88,,
EV016-EV021,CH003,,,7/2/2019 11:03,7/2/2019 11:51,9.6,9.6,7.68,,
EV016-EV021,CH003,,,7/1/2019 18:59,7/1/2019 19:08,9.6,9.6,1.44,,
EV016-EV021,CH003,,,7/1/2019 14:33,7/1/2019 16:53,9.6,9.6,22.4,,
EV016-EV021,CH003,,,6/26/2019 18:57,6/26/2019 19:06,9.6,9.6,1.44,,
EV016-EV021,CH003,,,6/26/2019 15:43,6/26/2019 16:02,9.6,9.6,3.04,,
EV016-EV021,CH003,,,6/26/2019 4:04,6/26/2019 4:52,9.6,9.6,7.68,,
EV016-EV021,CH003,,,5/29/2019 15:49,5/29/2019 15:50,9.6,9.6,0.16,,
EV016-EV021,CH003,,,5/29/2019 14:51,5/29/2019 15:25,9.6,9.6,5.44,,
EV016-EV021,CH003,,,5/28/2019 6:25,5/28/2019 6:27,9.6,9.6,0.32,,
EV016-EV021,CH003,,,5/27/2019 8:39,5/27/2019 8:53,9.6,9.6,2.24,,
EV016-EV021,CH003,,,5/27/2019 0:51,5/27/2019 1:04,9.6,9.6,2.08,,
EV016-EV021,CH003,,,5/24/2019 16:39,5/24/2019 16:40,9.6,9.6,0.16,,
EV016-EV021,CH003,,,5/23/2019 21:21,5/23/2019 21:23,9.6,9.6,0.32,,
EV016-EV021,CH003,,,5/22/2019 12:11,5/22/2019 12:16,9.6,9.6,0.8,,
EV016-EV021,CH003,,,5/21/2019 22:03,5/21/2019 23:28,9.6,9.6,13.6,,
EV016-EV021,CH003,,,5/21/2019 17:20,5/21/2019 17:52,9.6,9.6,5.12,,
EV016-EV021,CH003,,,5/21/2019 14:57,5/21/2019 14:58,9.6,9.6,0.16,,
EV016-EV021,CH003,,,5/21/2019 2:43,5/21/2019 3:31,9.6,9.6,7.68,,
EV016-EV021,CH003,,,5/20/2019 20:07,5/20/2019 20:07,9.6,9.6,0.03,,
EV016-EV021,CH003,,,5/20/2019 19:55,5/20/2019 20:05,9.6,9.6,1.73,,
EV016-EV021,CH003,,,5/20/2019 14:35,5/20/2019 14:36,9.6,9.6,0.16,,
EV016-EV021,CH003,,,5/20/2019 7:43,5/20/2019 8:03,9.6,9.6,3.2,,
EV016-EV021,CH003,,,5/17/2019 2:44,5/17/2019 2:50,9.6,9.6,0.96,,
EV016-EV021,CH003,,,5/16/2019 21:09,5/16/2019 22:58,9.6,9.6,17.44,,
EV016-EV021,CH003,,,5/16/2019 17:41,5/16/2019 19:29,9.6,9.6,17.28,,
EV016-EV021,CH003,,,5/16/2019 14:46,5/16/2019 15:34,9.6,9.6,7.68,,
EV016-EV021,CH003,,,5/15/2019 22:20,5/16/2019 1:30,9.6,9.6,30.4,,
EV016-EV021,CH003,,,5/15/2019 18:00,5/15/2019 20:08,9.6,9.6,20.48,,
EV016-EV021,CH003,,,5/15/2019 2:31,5/15/2019 3:44,9.6,9.6,11.68,,
EV016-EV021,CH003,,,5/14/2019 22:13,5/15/2019 2:30,9.6,9.6,41.16,,
EV016-EV021,CH003,,,5/14/2019 16:20,5/14/2019 16:30,9.6,9.6,1.6,,
EV016-EV021,CH003,,,5/13/2019 21:13,5/14/2019 0:40,9.6,9.6,33.12,,
EV016-EV021,CH003,,,5/13/2019 17:50,5/13/2019 20:08,9.6,9.6,22.18,,
EV016-EV021,CH003,,,5/13/2019 15:22,5/13/2019 16:07,9.6,9.6,7.31,,
EV016-EV021,CH003,,,5/12/2019 16:21,5/12/2019 16:30,9.6,9.6,1.44,,
EV016-EV021,CH003,,,5/12/2019 14:40,5/12/2019 14:48,9.6,9.6,1.28,,
EV016-EV021,CH003,,,5/10/2019 21:01,5/10/2019 21:49,9.6,9.6,7.68,,
EV016-EV021,CH003,,,5/10/2019 18:18,5/10/2019 18:24,9.6,9.6,0.96,,
EV016-EV021,CH003,,,5/9/2019 16:26,5/9/2019 21:03,9.6,9.6,44.32,,
EV016-EV021,CH003,,,5/9/2019 9:43,5/9/2019 12:33,9.6,9.6,27.2,,
EV016-EV021,CH003,,,5/9/2019 8:10,5/9/2019 8:38,9.6,9.6,4.48,,
EV016-EV021,CH003,,,5/9/2019 6:28,5/9/2019 6:38,9.6,9.6,1.6,,
EV016-EV021,CH003,,,5/9/2019 4:37,5/9/2019 6:05,9.6,9.6,14.09,,
EV016-EV021,CH003,,,5/8/2019 18:33,5/8/2019 19:54,9.6,9.6,12.96,,
EV016-EV021,CH003,,,5/8/2019 2:29,5/8/2019 2:35,9.6,9.6,0.96,,
EV016-EV021,CH003,,,5/7/2019 20:27,5/7/2019 23:23,9.6,9.6,28.16,,
EV016-EV021,CH003,,,5/7/2019 15:09,5/7/2019 16:28,9.6,9.6,12.64,,
EV016-EV021,CH003,,,5/7/2019 2:36,5/7/2019 2:42,9.6,9.6,0.96,,
EV016-EV021,CH003,,,5/6/2019 21:00,5/7/2019 2:14,9.6,9.6,50.24,,
EV016-EV021,CH003,,,5/6/2019 20:58,5/6/2019 20:59,9.6,9.6,0.21,,
EV016-EV021,CH003,,,5/6/2019 10:03,5/6/2019 11:22,9.6,9.6,12.64,,
EV016-EV021,CH003,,,5/6/2019 2:23,5/6/2019 3:11,9.6,9.6,7.68,,
EV016-EV021,CH003,,,5/6/2019 2:19,5/6/2019 2:21,9.6,9.6,0.45,,
EV016-EV021,CH003,,,5/4/2019 17:36,5/4/2019 17:47,9.6,9.6,1.76,,
EV016-EV021,CH003,,,5/4/2019 7:33,5/4/2019 7:39,9.6,9.6,0.96,,
EV016-EV021,CH003,,,5/2/2019 15:56,5/2/2019 19:12,9.6,9.6,31.36,,
EV016-EV021,CH003,,,5/2/2019 9:50,5/2/2019 11:17,9.6,9.6,13.92,,
EV016-EV021,CH003,,,5/1/2019 18:08,5/1/2019 22:23,9.6,9.6,40.8,,
EV016-EV021,CH003,,,5/1/2019 11:01,5/1/2019 12:28,9.6,9.6,13.92,,
EV016-EV021,CH003,,,5/1/2019 10:53,5/1/2019 10:59,9.6,9.6,0.96,,
EV016-EV021,CH003,,,5/1/2019 8:54,5/1/2019 8:57,9.6,9.6,0.48,,
EV016-EV021,CH003,,,5/1/2019 2:25,5/1/2019 2:30,9.6,9.6,0.8,,
EV016-EV021,CH003,,,4/30/2019 18:55,4/30/2019 20:37,9.6,9.6,16.32,,
EV016-EV021,CH003,,,4/30/2019 16:15,4/30/2019 17:27,9.6,9.6,11.52,,
EV016-EV021,CH003,,,4/30/2019 2:25,4/30/2019 2:32,9.6,9.6,1.12,,
EV016-EV021,CH003,,,4/29/2019 16:52,4/29/2019 21:17,9.6,9.6,42.4,,
EV016-EV021,CH003,,,4/29/2019 16:50,4/29/2019 16:50,9.6,9.6,0.14,,
EV016-EV021,CH003,,,4/25/2019 16:32,4/25/2019 21:49,9.6,9.6,50.72,,
EV016-EV021,CH003,,,4/25/2019 10:09,4/25/2019 11:40,9.6,9.6,14.56,,
EV016-EV021,CH003,,,4/24/2019 17:57,4/24/2019 22:18,9.6,9.6,41.76,,
EV016-EV021,CH003,,,4/24/2019 12:42,4/24/2019 12:53,9.6,9.6,1.76,,
EV016-EV021,CH003,,,4/24/2019 11:01,4/24/2019 11:56,9.6,9.6,8.8,,
EV016-EV021,CH003,,,4/24/2019 10:29,4/24/2019 10:42,9.6,9.6,2.19,,
EV016-EV021,CH003,,,4/23/2019 16:35,4/23/2019 21:21,9.6,9.6,45.76,,
EV016-EV021,CH003,,,4/23/2019 7:56,4/23/2019 9:34,9.6,9.6,15.68,,
EV016-EV021,CH003,,,4/23/2019 2:34,4/23/2019 2:40,9.6,9.6,0.96,,
EV016-EV021,CH003,,,4/22/2019 14:19,4/22/2019 15:25,9.6,9.6,10.56,,
EV016-EV021,CH003,,,4/16/2019 15:12,4/16/2019 15:13,9.6,9.6,0.16,,
EV016-EV021,CH003,,,4/16/2019 2:34,4/16/2019 3:22,9.6,9.6,7.68,,
EV016-EV021,CH003,,,4/16/2019 2:33,4/16/2019 2:33,9.6,9.6,0.09,,
EV016-EV021,CH003,,,4/15/2019 2:18,4/15/2019 2:25,9.6,9.6,1.12,,
EV016-EV021,CH003,,,4/12/2019 14:53,4/12/2019 16:38,9.6,9.6,16.8,,
EV016-EV021,CH003,,,4/12/2019 13:56,4/12/2019 14:52,9.6,9.6,9.09,,
EV016-EV021,CH003,,,4/12/2019 11:47,4/12/2019 12:31,9.6,9.6,7.04,,
EV016-EV021,CH003,,,4/12/2019 9:12,4/12/2019 9:19,9.6,9.6,1.22,,
EV016-EV021,CH003,,,4/11/2019 19:09,4/12/2019 1:22,9.6,9.6,59.68,,
EV016-EV021,CH003,,,4/11/2019 9:46,4/11/2019 11:22,9.6,9.6,15.36,,
EV016-EV021,CH003,,,4/11/2019 5:59,4/11/2019 6:05,9.6,9.6,0.96,,
EV016-EV021,CH003,,,4/10/2019 17:48,4/10/2019 19:17,9.6,9.6,14.24,,
EV016-EV021,CH003,,,4/10/2019 14:02,4/10/2019 14:07,9.6,9.6,0.8,,
EV016-EV021,CH003,,,4/10/2019 10:50,4/10/2019 12:27,9.6,9.6,15.52,,
EV016-EV021,CH003,,,4/10/2019 2:54,4/10/2019 6:40,9.6,9.6,36.16,,
EV016-EV021,CH003,,,4/9/2019 10:37,4/9/2019 13:09,9.6,9.6,24.44,,
EV016-EV021,CH003,,,4/9/2019 2:31,4/9/2019 3:19,9.6,9.6,7.68,,
EV016-EV021,CH003,,,4/8/2019 19:06,4/8/2019 22:43,9.6,9.6,34.72,,
EV016-EV021,CH003,,,4/8/2019 14:57,4/8/2019 16:36,9.6,9.6,15.96,,
EV016-EV021,CH003,,,4/8/2019 11:55,4/8/2019 13:37,9.6,9.6,16.34,,
EV016-EV021,CH003,,,4/5/2019 7:55,4/5/2019 8:01,9.6,9.6,0.96,,
EV016-EV021,CH003,,,4/4/2019 22:03,4/5/2019 0:52,9.6,9.6,27.04,,
EV016-EV021,CH003,,,4/4/2019 14:52,4/4/2019 14:58,9.6,9.6,0.96,,
EV016-EV021,CH003,,,4/4/2019 9:37,4/4/2019 11:12,9.6,9.6,15.2,,
EV016-EV021,CH003,,,4/3/2019 22:11,4/4/2019 3:24,9.6,9.6,50.08,,
EV016-EV021,CH003,,,4/3/2019 18:45,4/3/2019 20:01,9.6,9.6,12.16,,
EV016-EV021,CH003,,,4/3/2019 13:14,4/3/2019 13:15,9.6,9.6,0.16,,
EV016-EV021,CH003,,,4/3/2019 2:06,4/3/2019 2:13,9.6,9.6,1.12,,
EV016-EV021,CH003,,,4/2/2019 17:41,4/2/2019 22:09,9.6,9.6,42.88,,
EV016-EV021,CH003,,,4/2/2019 9:39,4/2/2019 11:08,9.6,9.6,14.24,,
