Vehicle ID,Charger ID,Local Connect Time,Local Disconnect Time,Local Charge Start Time,Local Charge End Time,Average Power,Max Power,Total Energy Delivered,Starting SOC,Ending SOC
EV034,CH007-CH008,,,8/13/2018 18:03,8/13/2018 18:13,203.959,293.96,33.937,53.5,100
EV034,CH007-CH008,,,8/13/2018 16:55,8/13/2018 17:05,213.348,274.88,32.906,52.5,98
EV034,CH007-CH008,,,8/13/2018 16:04,8/13/2018 16:10,276.673,313.4,29.943,51,91
EV034,CH007-CH008,,,8/13/2018 15:01,8/13/2018 15:08,230.739,305.66,28.664,53.5,91
EV034,CH007-CH008,,,8/13/2018 14:00,8/13/2018 14:07,257.041,312.34,26.907,56,92
EV034,CH007-CH008,,,8/13/2018 12:59,8/13/2018 13:08,246.938,314.66,31.865,54,96
EV034,CH007-CH008,,,8/13/2018 11:57,8/13/2018 12:03,223.272,302.94,21.739,57,87.5
EV034,CH007-CH008,,,8/13/2018 10:58,8/13/2018 11:03,243.059,292.52,21.246,60.5,96
EV034,CH007-CH008,,,8/13/2018 9:57,8/13/2018 10:03,177.897,312.88,18.2,75.5,100
EV034,CH007-CH008,,,8/13/2018 8:55,8/13/2018 9:03,220.116,313.06,25.019,63.5,99
EV034,CH007-CH008,,,8/13/2018 7:57,8/13/2018 8:05,219.045,318.98,28.203,55,92
EV034,CH007-CH008,,,8/13/2018 6:55,8/13/2018 7:00,223.226,340.96,17.284,57.5,81.5
EV034,CH007-CH008,,,8/13/2018 6:06,8/13/2018 6:11,258.613,347.06,21.528,56,85.5
EV034,CH007-CH008,,,8/10/2018 0:00,8/10/2018 0:18,-3.283,-1.98,0.946,100,100
EV034,CH007-CH008,,,8/9/2018 22:35,8/10/2018 0:00,22.984,42.18,24.986,60.5,100
EV034,CH007-CH008,,,8/6/2018 18:00,8/6/2018 18:11,217.36,301.62,33.717,52.5,99
EV034,CH007-CH008,,,8/6/2018 17:07,8/6/2018 17:15,236.11,296.72,30.118,49,89.5
EV034,CH007-CH008,,,8/6/2018 16:10,8/6/2018 16:18,239.864,303.14,33.68,45.5,91
EV034,CH007-CH008,,,8/6/2018 15:09,8/6/2018 15:15,217.617,303.22,24.515,50.5,90
EV034,CH007-CH008,,,8/6/2018 14:06,8/6/2018 14:11,289.457,335.4,25.822,54,88
EV034,CH007-CH008,,,8/6/2018 13:07,8/6/2018 13:13,226.526,279.9,24.845,57.5,92.5
EV034,CH007-CH008,,,8/6/2018 11:55,8/6/2018 12:01,258.118,306.52,20.819,72,100
EV034,CH007-CH008,,,8/6/2018 10:57,8/6/2018 11:01,222.448,336.9,16.063,78,100
EV034,CH007-CH008,,,8/6/2018 9:57,8/6/2018 10:08,239.171,332.94,31.919,55.5,99.5
EV034,CH007-CH008,,,8/6/2018 9:01,8/6/2018 9:04,224.373,323.76,14.901,72.5,91
EV034,CH007-CH008,,,8/6/2018 7:58,8/6/2018 8:06,202.189,313.4,23.58,66,100
EV034,CH007-CH008,,,8/6/2018 7:02,8/6/2018 7:09,254.888,318.48,34.066,49,94.5
EV034,CH007-CH008,,,8/6/2018 6:13,8/6/2018 6:16,232.3,307.28,14.424,52.5,73
EV034,CH007-CH008,,,8/3/2018 17:58,8/3/2018 18:07,176.849,223.08,24.253,62,96.5
EV034,CH007-CH008,,,8/3/2018 16:58,8/3/2018 17:10,233.207,313.74,33.588,52.5,98
EV034,CH007-CH008,,,8/3/2018 15:56,8/3/2018 16:03,211.441,283.66,24.719,54,87
EV034,CH007-CH008,,,8/3/2018 14:54,8/3/2018 15:03,223.733,295.38,29.971,51.5,91.5
EV034,CH007-CH008,,,8/3/2018 13:58,8/3/2018 14:02,207.998,283.42,17.27,62,86.5
EV034,CH007-CH008,,,8/3/2018 12:59,8/3/2018 13:05,230.638,329.88,21.13,71,98.5
EV034,CH007-CH008,,,8/3/2018 11:57,8/3/2018 12:06,183.495,218.58,27.612,57.5,95.5
EV034,CH007-CH008,,,8/3/2018 10:58,8/3/2018 11:03,194.363,299.94,18.529,64.5,91.5
EV034,CH007-CH008,,,8/3/2018 9:55,8/3/2018 10:05,174.403,210.48,26.313,62,100
EV034,CH007-CH008,,,8/3/2018 8:56,8/3/2018 9:04,186.51,215.14,21.702,67.5,100
EV034,CH007-CH008,,,8/3/2018 7:56,8/3/2018 8:03,200.417,269.98,23.763,65.5,100
EV034,CH007-CH008,,,8/3/2018 7:03,8/3/2018 7:08,247.956,296.94,19.542,74,100
EV034,CH007-CH008,,,8/3/2018 6:06,8/3/2018 6:14,194.817,252.62,24.383,65,100
EV034,CH007-CH008,,,8/1/2018 17:12,8/1/2018 18:36,17.316,42.92,20.464,65.5,100
EV034,CH007-CH008,,,7/31/2018 18:01,7/31/2018 18:09,301.092,355.5,29.99,58,100
EV034,CH007-CH008,,,7/31/2018 16:52,7/31/2018 17:02,219.738,316.96,33.687,53,99.5
EV034,CH007-CH008,,,7/31/2018 15:54,7/31/2018 16:03,206.519,317.56,33.166,49.5,94
EV034,CH007-CH008,,,7/31/2018 15:00,7/31/2018 15:06,235.092,302.16,23.353,52.5,85
