Vehicle ID,Charger ID,Local Connect Time,Local Disconnect Time,Local Charge Start Time,Local Charge End Time,Average Power,Max Power,Total Energy Delivered,Starting SOC,Ending SOC
EV032,CH007-CH008,,,8/13/2018 17:51,8/13/2018 18:00,337.797,359.58,33.94,54,100
EV032,CH007-CH008,,,8/13/2018 16:47,8/13/2018 16:55,24.101,132.1,33.551,53.5,99
EV032,CH007-CH008,,,8/13/2018 15:48,8/13/2018 15:56,346.784,372.34,32.824,54,98.5
EV032,CH007-CH008,,,8/13/2018 14:46,8/13/2018 14:52,195.148,339.36,29.633,55.5,94.5
EV032,CH007-CH008,,,8/13/2018 13:46,8/13/2018 13:54,302.232,358.74,29.293,59.5,100
EV032,CH007-CH008,,,8/13/2018 12:44,8/13/2018 12:53,260.141,291.54,32.207,55.5,98.5
EV032,CH007-CH008,,,8/13/2018 11:47,8/13/2018 11:54,283.41,352.58,31.617,55.5,96.5
EV032,CH007-CH008,,,8/13/2018 10:45,8/13/2018 10:52,248.606,376.38,29.322,56.5,95.5
EV032,CH007-CH008,,,8/13/2018 9:44,8/13/2018 9:51,298.542,376.36,29.128,57,96.5
EV032,CH007-CH008,,,8/13/2018 8:48,8/13/2018 8:53,278.58,345.22,24.296,62,96
EV032,CH007-CH008,,,8/13/2018 7:44,8/13/2018 7:53,288.205,374.38,33.081,54,99
EV032,CH007-CH008,,,8/13/2018 6:48,8/13/2018 6:52,335.88,373.58,21.555,58,87.5
EV032,CH007-CH008,,,8/13/2018 5:55,8/13/2018 5:58,254.793,366.26,12.8,81.5,98.5
EV032,CH007-CH008,,,8/11/2018 18:56,8/11/2018 19:05,253.86,345.44,31.833,56,99.5
EV032,CH007-CH008,,,8/11/2018 18:16,8/11/2018 18:22,246.668,291.6,26.698,57.5,93.5
EV032,CH007-CH008,,,8/11/2018 17:11,8/11/2018 17:21,271.272,332.94,32.888,55.5,99
EV032,CH007-CH008,,,8/11/2018 16:06,8/11/2018 16:13,260.461,372.06,30.596,57.5,100
EV032,CH007-CH008,,,8/11/2018 15:06,8/11/2018 15:15,245.558,281.32,30.889,57,99
EV032,CH007-CH008,,,8/11/2018 14:06,8/11/2018 14:16,228.284,292.54,33.306,55.5,100
EV032,CH007-CH008,,,8/11/2018 12:58,8/11/2018 13:09,83.97,231.8,34.67,52.5,98.5
EV032,CH007-CH008,,,8/11/2018 11:59,8/11/2018 12:08,337.531,357.38,39.892,44.5,97.5
EV032,CH007-CH008,,,8/11/2018 11:00,8/11/2018 11:08,278.309,346.24,35.659,40,88
EV032,CH007-CH008,,,8/11/2018 10:04,8/11/2018 10:10,248.058,319.3,25.76,48.5,85
EV032,CH007-CH008,,,8/11/2018 8:55,8/11/2018 9:04,306.582,368.02,40.256,44,98
EV032,CH007-CH008,,,8/10/2018 17:49,8/10/2018 17:57,243.794,309.94,33.317,50,95
EV032,CH007-CH008,,,8/10/2018 16:46,8/10/2018 16:55,310.024,360.02,36.701,47,96.5
EV032,CH007-CH008,,,8/10/2018 15:46,8/10/2018 15:52,314.322,360.36,31.125,48.5,90.5
EV032,CH007-CH008,,,8/10/2018 14:48,8/10/2018 14:54,278.09,363.3,25.889,53.5,88
EV032,CH007-CH008,,,8/10/2018 13:45,8/10/2018 13:53,306.509,354.7,32.986,54.5,97.5
EV032,CH007-CH008,,,8/10/2018 12:42,8/10/2018 12:52,245.637,358.26,34.835,52.5,98.5
EV032,CH007-CH008,,,8/10/2018 11:43,8/10/2018 11:51,242.418,361.24,33.906,50.5,96
