Vehicle ID,Charger ID,Date,Number of Charging Sessions,Connection Time,Charging Time,Average Power,Max Power,Total Energy Delivered,Starting SOC,Ending SOC,SOC Charged
EV100,CH018-CH024,06/07/18,,,0.836749167,35.81669537,,29.96959,,,10
EV100,CH018-CH024,06/28/18,,,3.057455,31.28426093,,95.65022,,,32.5
EV100,CH018-CH024,10/02/18,,,8.680677179,36.689307,,318.48803,,,89.5
EV100,CH018-CH024,12/06/18,,,2.528443889,41.20183582,,104.17653,,,31
EV100,CH018-CH024,12/07/18,,,0.007631111,23.08707047,,0.17618,,,1
EV100,CH018-CH024,12/13/18,,,5.069735833,36.98107479,,187.48428,,,54
EV100,CH018-CH024,12/21/18,,,2.228166944,33.41573673,,74.45584,,,20.5
EV100,CH018-CH024,12/27/18,,,7.916514167,1.207563051,,9.55969,,,2
EV100,CH018-CH024,12/28/18,,,5.50106,3.179227276,,17.48912,,,4.5
EV100,CH018-CH024,12/31/18,,,4.585199444,9.903386003,,45.409,,,12
EV100,CH018-CH024,01/04/19,,,7.934244974,6.497583598,,51.55342,,,13
EV100,CH018-CH024,01/07/19,,,7.204588333,36.55368188,,263.35423,,,73.5
EV100,CH018-CH024,01/14/19,,,8.824485,27.42517353,,242.0130325,,,66
EV100,CH018-CH024,01/15/19,,,10.46722056,21.40780127,,224.0801775,,,62.5
EV100,CH018-CH024,01/18/19,,,7.185281944,1.02939454,,7.39649,,,1
EV100,CH018-CH024,01/22/19,,,9.478838611,37.69379828,,357.2934305,,,102.5
EV100,CH018-CH024,01/23/19,,,1.73485,1.296993683,,2.250089492,,,
EV100,CH018-CH024,01/25/19,,,6.758490278,11.96778225,,80.88414,,,22.5
EV100,CH018-CH024,02/01/19,,,5.972171944,2.006601637,,11.98377,,,2.5
EV100,CH018-CH024,02/04/19,,,4.358860278,23.30728723,,101.5932085,,,29.5
EV100,CH018-CH024,02/05/19,,,1.278979722,23.37869085,,29.90087153,,,7
EV100,CH018-CH024,02/06/19,,,10.13197833,36.08335687,,365.59579,,,101.5
EV100,CH018-CH024,02/07/19,,,4.362289167,35.25459779,,153.79075,,,43
EV100,CH018-CH024,02/13/19,,,8.238635833,35.57488229,,293.0885,,,80
EV100,CH018-CH024,02/14/19,,,9.458550556,37.41158368,,353.8593556,,,101
EV100,CH018-CH024,02/15/19,,,10.37533194,34.64604355,,359.4642024,,,101.5
EV100,CH018-CH024,02/16/19,,,0.546595278,0.698710756,,0.381912,,,
EV100,CH018-CH024,02/18/19,,,9.510364167,36.39775133,,346.15587,,,97.5
EV100,CH018-CH024,02/19/19,,,8.959534167,37.77583675,,338.4539,,,95.5
EV100,CH018-CH024,02/20/19,,,9.219982222,38.92504794,,358.88825,,,103.5
EV100,CH018-CH024,02/21/19,,,8.012032778,25.42437302,,203.70091,,,57.5
EV100,CH018-CH024,02/22/19,,,4.210203611,1.258456951,,5.29836,,,0.5
EV100,CH018-CH024,02/25/19,,,9.673985833,35.07632178,,339.32784,,,96
EV100,CH018-CH024,02/27/19,,,8.971655833,35.62056503,,319.57545,,,90.5
EV100,CH018-CH024,02/28/19,,,10.25779611,31.37342237,,321.82217,,,88
EV100,CH018-CH024,03/01/19,,,7.455344722,23.07455744,,172.02878,,,48.5
EV100,CH018-CH024,03/05/19,,,5.931850833,18.19885952,,107.95292,,,28
EV100,CH018-CH024,03/06/19,,,8.796856111,35.59319898,,313.10825,,,89.5
EV100,CH018-CH024,03/07/19,,,8.60573,28.16430099,,242.37437,,,68.5
EV100,CH018-CH024,03/08/19,,,10.40780639,28.20062927,,293.5066894,,,82
EV100,CH018-CH024,03/09/19,,,2.561796111,0.292525448,,0.749390556,,,
EV100,CH018-CH024,03/11/19,,,7.967141389,38.25072823,,304.74896,,,86
EV100,CH018-CH024,03/12/19,,,6.9267025,37.57752697,,260.28835,,,75.5
EV100,CH018-CH024,03/13/19,,,8.293869722,32.56971583,,270.12898,,,76
EV100,CH018-CH024,03/19/19,,,6.538018333,0.174661486,,1.14194,,,
EV100,CH018-CH024,03/28/19,,,3.657193889,2.655287167,,9.7109,,,2
EV100,CH018-CH024,04/04/19,,,2.737088333,38.40053268,,105.10565,,,29
EV100,CH018-CH024,04/05/19,,,7.922063056,31.787697,,251.82414,,,70.5
EV100,CH018-CH024,04/08/19,,,8.445095556,23.55396558,,198.91549,,,52
EV100,CH018-CH024,04/09/19,,,8.472647778,29.56848304,,250.5233422,,,68
EV100,CH018-CH024,04/10/19,,,5.501336111,25.20241175,,138.6469378,,,38.5
EV100,CH018-CH024,04/11/19,,,8.069156389,36.15202457,,291.71634,,,83
EV100,CH018-CH024,04/15/19,,,3.513824722,33.85480193,,118.95984,,,31.5
EV100,CH018-CH024,04/16/19,,,6.660481389,28.47645693,,189.6669114,,,55
EV100,CH018-CH024,04/17/19,,,9.938221667,25.84579578,,256.8612476,,,70.5
EV100,CH018-CH024,04/18/19,,,9.708248333,36.70859961,,356.376201,,,103
EV100,CH018-CH024,04/19/19,,,11.02754917,37.20330364,,410.26126,,,116
EV100,CH018-CH024,04/22/19,,,8.140189167,27.86236479,,226.80492,,,62.5
EV100,CH018-CH024,04/23/19,,,7.670706944,31.59471764,,242.35382,,,67
EV100,CH018-CH024,04/24/19,,,5.590311389,35.41278584,,197.9685,,,55
EV100,CH018-CH024,04/25/19,,,7.8639625,22.70977513,,178.58882,,,48.5
EV100,CH018-CH024,04/26/19,,,5.148161111,25.52769512,,131.4206873,,,36
EV100,CH018-CH024,04/27/19,,,5.19909,15.55082769,,80.85015275,,,21
EV100,CH018-CH024,04/29/19,,,5.160101389,30.11868145,,155.41545,,,44.5
EV100,CH018-CH024,05/02/19,,,4.008161111,16.27887657,,65.24836,,,17.5
EV100,CH018-CH024,05/03/19,,,2.992510556,1.265238645,,3.78624,,,
EV100,CH018-CH024,05/05/19,,,2.963065,38.49047861,,114.04979,,,31.5
EV100,CH018-CH024,05/06/19,,,6.315228056,18.57765681,,117.3221395,,,32
EV100,CH018-CH024,05/07/19,,,10.45665361,38.94876847,,407.2737805,,,118
EV100,CH018-CH024,05/08/19,,,8.321622222,27.22090284,,226.52207,,,62.5
EV100,CH018-CH024,05/10/19,,,6.383483889,30.1880671,,192.70504,,,52
EV100,CH018-CH024,05/11/19,,,2.575568056,30.63538928,,78.90353,,,21.5
EV100,CH018-CH024,05/13/19,,,2.6317975,30.59546565,,80.52107,,,21.5
EV100,CH018-CH024,05/14/19,,,4.810419722,37.33906902,,179.616594,,,52
EV100,CH018-CH024,05/15/19,,,11.87648833,22.10508432,,262.530776,,,70
EV100,CH018-CH024,05/16/19,,,4.912272222,15.88597221,,78.03622,,,20
