Vehice ID,Charger ID,Local Connect Time,Local Disconnect Time,Local Charge Start Time,Local Charge End Time,Average Power,Max Power,Total Energy Delivered ,Starting SOC,Ending SOC
EV016-EV021,CH002,,,8/1/2019 9:11,8/1/2019 9:31,9.6,9.6,3.2,,
EV016-EV021,CH002,,,7/30/2019 21:01,7/30/2019 23:51,9.6,9.6,27.21,,
EV016-EV021,CH002,,,7/30/2019 17:24,7/30/2019 19:49,9.6,9.6,23.21,,
EV016-EV021,CH002,,,7/30/2019 15:23,7/30/2019 15:28,9.6,9.6,0.94,,
EV016-EV021,CH002,,,7/30/2019 15:01,7/30/2019 15:02,9.6,9.6,0.16,,
EV016-EV021,CH002,,,7/30/2019 13:35,7/30/2019 13:52,9.6,9.6,2.72,,
EV016-EV021,CH002,,,7/30/2019 12:03,7/30/2019 12:18,9.6,9.6,2.4,,
EV016-EV021,CH002,,,7/30/2019 7:25,7/30/2019 9:36,9.6,9.6,20.97,,
EV016-EV021,CH002,,,7/2/2019 20:50,7/2/2019 21:24,9.6,9.6,5.44,,
EV016-EV021,CH002,,,6/25/2019 13:35,6/25/2019 21:14,9.6,9.6,73.44,,
EV016-EV021,CH002,,,6/24/2019 12:30,6/24/2019 12:48,9.6,9.6,2.88,,
EV016-EV021,CH002,,,6/24/2019 10:37,6/24/2019 10:49,9.6,9.6,1.92,,
EV016-EV021,CH002,,,6/24/2019 5:30,6/24/2019 5:41,9.6,9.6,1.76,,
EV016-EV021,CH002,,,6/6/2019 2:32,6/6/2019 2:54,9.6,9.6,3.52,,
EV016-EV021,CH002,,,6/6/2019 2:29,6/6/2019 2:30,9.6,9.6,0.21,,
EV016-EV021,CH002,,,6/3/2019 2:31,6/3/2019 3:19,9.6,9.6,7.68,,
EV016-EV021,CH002,,,6/2/2019 16:07,6/2/2019 16:27,9.6,9.6,3.2,,
EV016-EV021,CH002,,,6/1/2019 17:19,6/1/2019 17:38,9.6,9.6,3.04,,
EV016-EV021,CH002,,,6/1/2019 14:22,6/1/2019 14:38,9.6,9.6,2.56,,
EV016-EV021,CH002,,,5/31/2019 16:47,5/31/2019 17:06,9.6,9.6,3.04,,
EV016-EV021,CH002,,,5/31/2019 14:27,5/31/2019 14:28,9.6,9.6,0.16,,
EV016-EV021,CH002,,,5/31/2019 13:08,5/31/2019 14:21,9.6,9.6,11.68,,
EV016-EV021,CH002,,,5/30/2019 1:11,5/30/2019 1:13,9.6,9.6,0.32,,
EV016-EV021,CH002,,,5/30/2019 1:09,5/30/2019 1:09,9.6,9.6,0.08,,
EV016-EV021,CH002,,,5/28/2019 14:24,5/28/2019 14:30,9.6,9.6,0.96,,
EV016-EV021,CH002,,,5/28/2019 9:04,5/28/2019 11:56,9.6,9.6,27.52,,
EV016-EV021,CH002,,,5/24/2019 2:24,5/24/2019 2:24,9.6,9.6,0.06,,
EV016-EV021,CH002,,,5/23/2019 2:15,5/23/2019 2:15,9.6,9.6,0.06,,
EV016-EV021,CH002,,,5/22/2019 2:07,5/22/2019 2:08,9.6,9.6,0.16,,
EV016-EV021,CH002,,,5/21/2019 4:41,5/21/2019 4:42,9.6,9.6,0.16,,
EV016-EV021,CH002,,,5/20/2019 19:09,5/20/2019 19:11,9.6,9.6,0.32,,
EV016-EV021,CH002,,,5/20/2019 2:28,5/20/2019 3:16,9.6,9.6,7.68,,
EV016-EV021,CH002,,,5/20/2019 2:27,5/20/2019 2:27,9.6,9.6,0.07,,
EV016-EV021,CH002,,,5/19/2019 2:37,5/19/2019 3:25,9.6,9.6,7.68,,
EV016-EV021,CH002,,,5/19/2019 2:36,5/19/2019 2:36,9.6,9.6,0.07,,
EV016-EV021,CH002,,,5/18/2019 2:05,5/18/2019 2:11,9.6,9.6,0.96,,
EV016-EV021,CH002,,,5/17/2019 15:23,5/17/2019 18:12,9.6,9.6,27.04,,
EV016-EV021,CH002,,,5/17/2019 13:35,5/17/2019 14:02,9.6,9.6,4.48,,
EV016-EV021,CH002,,,5/17/2019 11:15,5/17/2019 12:35,9.6,9.6,12.8,,
EV016-EV021,CH002,,,5/17/2019 2:44,5/17/2019 2:50,9.6,9.6,0.96,,
EV016-EV021,CH002,,,5/16/2019 19:32,5/16/2019 22:11,9.6,9.6,25.44,,
EV016-EV021,CH002,,,5/16/2019 19:30,5/16/2019 19:30,9.6,9.6,0.07,,
EV016-EV021,CH002,,,5/16/2019 2:40,5/16/2019 2:41,9.6,9.6,0.16,,
EV016-EV021,CH002,,,5/15/2019 2:32,5/15/2019 2:38,9.6,9.6,0.96,,
EV016-EV021,CH002,,,5/14/2019 13:23,5/14/2019 19:35,9.6,9.6,59.52,,
EV016-EV021,CH002,,,5/13/2019 23:26,5/13/2019 23:29,9.6,9.6,0.48,,
EV016-EV021,CH002,,,5/13/2019 19:49,5/13/2019 21:20,9.6,9.6,14.7,,
EV016-EV021,CH002,,,5/13/2019 18:52,5/13/2019 18:59,9.6,9.6,1.27,,
EV016-EV021,CH002,,,5/10/2019 7:14,5/10/2019 7:21,9.6,9.6,1.12,,
EV016-EV021,CH002,,,5/9/2019 19:55,5/10/2019 0:12,9.6,9.6,41.12,,
EV016-EV021,CH002,,,5/9/2019 14:45,5/9/2019 14:45,9.6,9.6,0.09,,
EV016-EV021,CH002,,,5/9/2019 12:10,5/9/2019 12:13,9.6,9.6,0.48,,
EV016-EV021,CH002,,,5/9/2019 2:17,5/9/2019 2:22,9.6,9.6,0.8,,
EV016-EV021,CH002,,,5/8/2019 21:56,5/9/2019 1:44,9.6,9.6,36.48,,
EV016-EV021,CH002,,,5/8/2019 19:23,5/8/2019 19:52,9.6,9.6,4.64,,
EV016-EV021,CH002,,,5/8/2019 2:31,5/8/2019 2:37,9.6,9.6,0.96,,
EV016-EV021,CH002,,,5/7/2019 22:34,5/8/2019 0:49,9.6,9.6,21.6,,
EV016-EV021,CH002,,,5/7/2019 18:27,5/7/2019 20:27,9.6,9.6,19.2,,
EV016-EV021,CH002,,,5/7/2019 2:37,5/7/2019 2:43,9.6,9.6,0.96,,
EV016-EV021,CH002,,,5/6/2019 18:44,5/7/2019 1:43,9.6,9.6,67.04,,
EV016-EV021,CH002,,,5/6/2019 2:23,5/6/2019 3:11,9.6,9.6,7.68,,
EV016-EV021,CH002,,,5/3/2019 16:25,5/3/2019 16:37,9.6,9.6,1.92,,
EV016-EV021,CH002,,,5/3/2019 2:47,5/3/2019 4:31,9.6,9.6,16.64,,
EV016-EV021,CH002,,,5/2/2019 22:15,5/3/2019 2:46,9.6,9.6,43.39,,
EV016-EV021,CH002,,,5/2/2019 18:45,5/2/2019 20:03,9.6,9.6,12.48,,
EV016-EV021,CH002,,,5/1/2019 21:55,5/2/2019 1:25,9.6,9.6,33.6,,
EV016-EV021,CH002,,,5/1/2019 21:35,5/1/2019 21:53,9.6,9.6,3.03,,
EV016-EV021,CH002,,,5/1/2019 18:55,5/1/2019 19:44,9.6,9.6,7.86,,
EV016-EV021,CH002,,,5/1/2019 15:57,5/1/2019 16:33,9.6,9.6,5.76,,
EV016-EV021,CH002,,,5/1/2019 2:24,5/1/2019 3:12,9.6,9.6,7.68,,
EV016-EV021,CH002,,,4/30/2019 14:58,4/30/2019 19:29,9.6,9.6,43.36,,
EV016-EV021,CH002,,,4/30/2019 2:23,4/30/2019 2:28,9.6,9.6,0.8,,
EV016-EV021,CH002,,,4/29/2019 19:18,4/29/2019 22:26,9.6,9.6,30.08,,
EV016-EV021,CH002,,,4/29/2019 14:50,4/29/2019 16:34,9.6,9.6,16.64,,
EV016-EV021,CH002,,,4/25/2019 22:33,4/26/2019 1:26,9.6,9.6,27.68,,
EV016-EV021,CH002,,,4/25/2019 22:25,4/25/2019 22:25,9.6,9.6,0.04,,
EV016-EV021,CH002,,,4/25/2019 15:28,4/25/2019 15:44,9.6,9.6,2.56,,
EV016-EV021,CH002,,,4/25/2019 14:17,4/25/2019 14:22,9.6,9.6,0.8,,
EV016-EV021,CH002,,,4/25/2019 13:44,4/25/2019 14:13,9.6,9.6,4.64,,
EV016-EV021,CH002,,,4/24/2019 21:49,4/25/2019 0:56,9.6,9.6,29.92,,
EV016-EV021,CH002,,,4/24/2019 18:26,4/24/2019 20:15,9.6,9.6,17.44,,
EV016-EV021,CH002,,,4/24/2019 16:19,4/24/2019 16:37,9.6,9.6,2.88,,
EV016-EV021,CH002,,,4/24/2019 14:16,4/24/2019 14:41,9.6,9.6,4.06,,
EV016-EV021,CH002,,,4/24/2019 7:22,4/24/2019 7:28,9.6,9.6,0.96,,
EV016-EV021,CH002,,,4/23/2019 19:00,4/24/2019 0:13,9.6,9.6,50.08,,
EV016-EV021,CH002,,,4/23/2019 16:24,4/23/2019 16:43,9.6,9.6,3.04,,
EV016-EV021,CH002,,,4/23/2019 14:24,4/23/2019 15:02,9.6,9.6,6.23,,
EV016-EV021,CH002,,,4/23/2019 2:36,4/23/2019 2:42,9.6,9.6,0.96,,
EV016-EV021,CH002,,,4/22/2019 20:12,4/23/2019 1:23,9.6,9.6,49.76,,
EV016-EV021,CH002,,,4/22/2019 15:51,4/22/2019 16:40,9.6,9.6,7.84,,
EV016-EV021,CH002,,,4/22/2019 10:52,4/22/2019 14:20,9.6,9.6,33.34,,
EV016-EV021,CH002,,,4/22/2019 5:06,4/22/2019 6:15,9.6,9.6,11.04,,
EV016-EV021,CH002,,,4/16/2019 15:06,4/16/2019 15:07,9.6,9.6,0.16,,
EV016-EV021,CH002,,,4/16/2019 2:31,4/16/2019 3:19,9.6,9.6,7.68,,
EV016-EV021,CH002,,,4/15/2019 2:15,4/15/2019 2:23,9.6,9.6,1.28,,
EV016-EV021,CH002,,,4/12/2019 16:06,4/12/2019 19:24,9.6,9.6,31.68,,
EV016-EV021,CH002,,,4/12/2019 9:33,4/12/2019 11:04,9.6,9.6,14.56,,
EV016-EV021,CH002,,,4/11/2019 22:22,4/12/2019 2:32,9.6,9.6,40,,
EV016-EV021,CH002,,,4/11/2019 17:18,4/11/2019 18:00,9.6,9.6,6.72,,
EV016-EV021,CH002,,,4/11/2019 6:00,4/11/2019 6:06,9.6,9.6,0.96,,
EV016-EV021,CH002,,,4/10/2019 18:13,4/10/2019 19:58,9.6,9.6,16.8,,
EV016-EV021,CH002,,,4/10/2019 14:42,4/10/2019 16:29,9.6,9.6,17.12,,
EV016-EV021,CH002,,,4/10/2019 13:08,4/10/2019 13:09,9.6,9.6,0.16,,
EV016-EV021,CH002,,,4/10/2019 11:14,4/10/2019 11:21,9.6,9.6,1.12,,
EV016-EV021,CH002,,,4/9/2019 22:24,4/10/2019 0:23,9.6,9.6,19.04,,
EV016-EV021,CH002,,,4/9/2019 18:55,4/9/2019 20:44,9.6,9.6,17.44,,
EV016-EV021,CH002,,,4/9/2019 15:58,4/9/2019 17:35,9.6,9.6,15.52,,
EV016-EV021,CH002,,,4/9/2019 14:43,4/9/2019 14:56,9.6,9.6,2.08,,
EV016-EV021,CH002,,,4/9/2019 13:46,4/9/2019 14:41,9.6,9.6,8.93,,
EV016-EV021,CH002,,,4/9/2019 12:07,4/9/2019 12:24,9.6,9.6,2.72,,
EV016-EV021,CH002,,,4/9/2019 11:34,4/9/2019 11:35,9.6,9.6,0.16,,
EV016-EV021,CH002,,,4/9/2019 2:30,4/9/2019 2:35,9.6,9.6,0.8,,
EV016-EV021,CH002,,,4/8/2019 23:23,4/9/2019 0:33,9.6,9.6,11.2,,
EV016-EV021,CH002,,,4/8/2019 19:04,4/8/2019 20:09,9.6,9.6,10.4,,
EV016-EV021,CH002,,,4/8/2019 16:07,4/8/2019 16:18,9.6,9.6,1.92,,
EV016-EV021,CH002,,,4/6/2019 9:10,4/6/2019 9:17,9.6,9.6,1.12,,
EV016-EV021,CH002,,,4/4/2019 18:19,4/4/2019 20:57,9.6,9.6,25.28,,
EV016-EV021,CH002,,,4/4/2019 14:53,4/4/2019 14:56,9.6,9.6,0.48,,
EV016-EV021,CH002,,,4/4/2019 9:47,4/4/2019 12:41,9.6,9.6,27.84,,
EV016-EV021,CH002,,,4/4/2019 7:31,4/4/2019 7:32,9.6,9.6,0.23,,
EV016-EV021,CH002,,,4/4/2019 6:08,4/4/2019 7:27,9.6,9.6,12.8,,
EV016-EV021,CH002,,,4/3/2019 14:11,4/3/2019 14:59,9.6,9.6,7.68,,
EV016-EV021,CH002,,,4/3/2019 14:09,4/3/2019 14:09,9.6,9.6,0.13,,
EV016-EV021,CH002,,,4/3/2019 2:07,4/3/2019 2:14,9.6,9.6,1.12,,
EV016-EV021,CH002,,,4/2/2019 18:57,4/3/2019 0:54,9.6,9.6,57.12,,
EV016-EV021,CH002,,,4/2/2019 9:36,4/2/2019 12:57,9.6,9.6,32.16,,
EV016-EV021,CH002,,,4/2/2019 2:30,4/2/2019 2:37,9.6,9.6,1.12,,
EV016-EV021,CH002,,,4/1/2019 17:14,4/1/2019 22:56,9.6,9.6,54.72,,
EV016-EV021,CH002,,,4/1/2019 12:12,4/1/2019 13:01,9.6,9.6,7.84,,
EV016-EV021,CH002,,,4/1/2019 8:57,4/1/2019 9:00,9.6,9.6,0.48,,
EV016-EV021,CH002,,,3/29/2019 2:56,3/29/2019 3:58,9.6,9.6,9.92,,
EV016-EV021,CH002,,,3/28/2019 21:23,3/29/2019 2:54,9.6,9.6,53.1,,
EV016-EV021,CH002,,,3/28/2019 16:28,3/28/2019 17:03,9.6,9.6,5.6,,
EV016-EV021,CH002,,,3/27/2019 22:28,3/28/2019 2:26,9.6,9.6,38.08,,
EV016-EV021,CH002,,,3/27/2019 15:50,3/27/2019 16:22,9.6,9.6,5.12,,
EV016-EV021,CH002,,,3/27/2019 13:28,3/27/2019 15:48,9.6,9.6,22.47,,
EV016-EV021,CH002,,,3/26/2019 4:40,3/26/2019 4:47,9.6,9.6,1.12,,
EV016-EV021,CH002,,,3/25/2019 14:58,3/25/2019 18:45,9.6,9.6,36.32,,
EV016-EV021,CH002,,,3/25/2019 6:12,3/25/2019 6:30,9.6,9.6,2.88,,
EV016-EV021,CH002,,,3/24/2019 5:48,3/24/2019 6:08,9.6,9.6,3.2,,
EV016-EV021,CH002,,,3/22/2019 14:06,3/22/2019 14:54,9.6,9.6,7.68,,
EV016-EV021,CH002,,,3/22/2019 2:33,3/22/2019 4:03,9.6,9.6,14.4,,
EV016-EV021,CH002,,,3/21/2019 21:17,3/22/2019 2:32,9.6,9.6,50.47,,
EV016-EV021,CH002,,,3/21/2019 18:41,3/21/2019 19:57,9.6,9.6,12.28,,
EV016-EV021,CH002,,,3/21/2019 14:17,3/21/2019 14:21,9.6,9.6,0.66,,
EV016-EV021,CH002,,,3/21/2019 13:52,3/21/2019 14:15,9.6,9.6,3.82,,
EV016-EV021,CH002,,,3/21/2019 1:36,3/21/2019 2:03,9.6,9.6,4.32,,
EV016-EV021,CH002,,,3/20/2019 21:12,3/21/2019 1:35,9.6,9.6,42.17,,
EV016-EV021,CH002,,,3/20/2019 19:02,3/20/2019 20:05,9.6,9.6,10.08,,
EV016-EV021,CH002,,,3/20/2019 7:39,3/20/2019 7:45,9.6,9.6,0.96,,
EV016-EV021,CH002,,,3/19/2019 18:02,3/19/2019 20:46,9.6,9.6,26.24,,
EV016-EV021,CH002,,,3/19/2019 14:15,3/19/2019 14:20,9.6,9.6,0.8,,
