Vehicle ID,Charger ID,Local Connect Time,Local Disconnect Time,Local Charge Start Time,Local Charge End Time,Average Power,Max Power,Total Energy Delivered,Starting SOC,Ending SOC
EV031,CH007-CH008,,,6/14/2018 9:43,6/14/2018 9:50,255.74,316.72,25.637,63.5,100
EV031,CH007-CH008,,,6/14/2018 8:43,6/14/2018 8:50,174.391,191,21.392,71,99
EV031,CH007-CH008,,,6/14/2018 7:43,6/14/2018 7:51,187.619,210.76,23.938,65.5,100
EV031,CH007-CH008,,,6/14/2018 6:45,6/14/2018 6:50,224.79,272.06,22.47,63.5,95
EV031,CH007-CH008,,,6/14/2018 5:54,6/14/2018 5:58,158.024,334.22,11.115,84,99.5
EV031,CH007-CH008,,,6/12/2018 17:50,6/12/2018 17:59,236.06,368.02,33.774,54,99
EV031,CH007-CH008,,,6/12/2018 16:44,6/12/2018 16:53,221.876,362.74,28.34,59.5,99.5
EV031,CH007-CH008,,,6/12/2018 15:41,6/12/2018 15:53,33.719,148.1,34.178,53.5,100
EV031,CH007-CH008,,,6/12/2018 14:44,6/12/2018 14:52,212.577,253.94,29.507,55,93.5
EV031,CH007-CH008,,,6/12/2018 13:48,6/12/2018 13:54,316.367,357.4,32.531,51,93.5
EV031,CH007-CH008,,,6/12/2018 12:50,6/12/2018 12:56,260.268,297.34,27.402,55.5,91
EV031,CH007-CH008,,,6/12/2018 11:47,6/12/2018 11:56,199.677,254.94,27.105,61,100
EV031,CH007-CH008,,,6/12/2018 10:46,6/12/2018 10:54,245.57,355.8,28.663,60,99
EV031,CH007-CH008,,,6/12/2018 9:48,6/12/2018 9:55,255.314,339.08,27.435,61.5,99
EV031,CH007-CH008,,,6/12/2018 8:46,6/12/2018 8:54,217.164,296.08,29.547,56,95
EV031,CH007-CH008,,,6/12/2018 7:51,6/12/2018 7:57,198.683,232.28,21.486,65.5,96
EV031,CH007-CH008,,,6/12/2018 6:47,6/12/2018 6:54,208.048,318.88,25.907,60.5,96
EV031,CH007-CH008,,,6/12/2018 5:54,6/12/2018 5:58,141.99,343.76,12.06,82.5,99
EV031,CH007-CH008,,,6/11/2018 13:26,6/11/2018 13:34,333.775,364.7,37.369,49,99.5
EV031,CH007-CH008,,,6/11/2018 12:27,6/11/2018 12:30,291.251,351.02,17.813,60,85.5
EV031,CH007-CH008,,,6/11/2018 11:23,6/11/2018 11:33,242.621,351.7,32.189,56.5,99
EV031,CH007-CH008,,,6/11/2018 10:26,6/11/2018 10:31,308.088,345.58,27.038,53.5,88.5
EV031,CH007-CH008,,,6/11/2018 9:27,6/11/2018 9:30,264.995,300.72,13.228,67,86
EV031,CH007-CH008,,,6/11/2018 8:24,6/11/2018 8:29,275.042,378.44,19.993,74,100
EV031,CH007-CH008,,,6/11/2018 7:26,6/11/2018 7:33,321.059,364.46,30.546,56,94.5
EV031,CH007-CH008,,,6/11/2018 6:27,6/11/2018 6:30,284.537,359.74,17.618,63,87.5
EV031,CH007-CH008,,,6/8/2018 22:41,6/8/2018 22:48,186.718,296.42,23.747,66.5,100
