Vehice ID,Charger ID,Local Connect Time,Local Disconnect Time,Local Charge Start Time,Local Charge End Time,Average Power,Max Power,Total Energy Delivered ,Starting SOC,Ending SOC
EV016-EV021,CH001,,,8/2/2019 3:54,8/2/2019 3:56,9.6,9.6,0.32,,
EV016-EV021,CH001,,,8/2/2019 3:34,8/2/2019 3:41,9.6,9.6,1.12,,
EV016-EV021,CH001,,,8/2/2019 0:33,8/2/2019 1:43,9.6,9.6,11.21,,
EV016-EV021,CH001,,,8/2/2019 0:03,8/2/2019 0:21,9.6,9.6,2.88,,
EV016-EV021,CH001,,,8/1/2019 23:46,8/1/2019 23:53,9.6,9.6,1.12,,
EV016-EV021,CH001,,,8/1/2019 23:31,8/1/2019 23:38,9.6,9.6,1.12,,
EV016-EV021,CH001,,,8/1/2019 22:50,8/1/2019 23:16,9.6,9.6,4.16,,
EV016-EV021,CH001,,,8/1/2019 22:33,8/1/2019 22:44,9.6,9.6,1.76,,
EV016-EV021,CH001,,,8/1/2019 13:19,8/1/2019 22:27,9.6,9.6,87.72,,
EV016-EV021,CH001,,,8/1/2019 10:34,8/1/2019 12:09,9.6,9.6,15.21,,
EV016-EV021,CH001,,,7/31/2019 14:21,7/31/2019 23:46,9.6,9.6,90.43,,
EV016-EV021,CH001,,,7/31/2019 11:24,7/31/2019 12:03,9.6,9.6,6.24,,
EV016-EV021,CH001,,,7/31/2019 7:58,7/31/2019 8:58,9.6,9.6,9.61,,
EV016-EV021,CH001,,,7/30/2019 14:39,7/31/2019 0:31,9.6,9.6,94.76,,
EV016-EV021,CH001,,,7/30/2019 14:34,7/30/2019 14:35,9.6,9.6,0.29,,
EV016-EV021,CH001,,,7/30/2019 11:13,7/30/2019 12:00,9.6,9.6,7.52,,
EV016-EV021,CH001,,,7/30/2019 8:16,7/30/2019 9:01,9.6,9.6,7.2,,
EV016-EV021,CH001,,,7/29/2019 20:11,7/29/2019 20:20,9.6,9.6,1.44,,
EV016-EV021,CH001,,,7/29/2019 18:41,7/29/2019 18:59,9.6,9.6,2.88,,
EV016-EV021,CH001,,,7/29/2019 11:40,7/29/2019 17:42,9.6,9.6,57.94,,
EV016-EV021,CH001,,,7/29/2019 11:17,7/29/2019 11:37,9.6,9.6,3.28,,
EV016-EV021,CH001,,,7/29/2019 8:05,7/29/2019 8:56,9.6,9.6,8.16,,
EV016-EV021,CH001,,,7/28/2019 22:13,7/28/2019 22:22,9.6,9.6,1.44,,
EV016-EV021,CH001,,,7/28/2019 20:07,7/28/2019 20:22,9.6,9.6,2.4,,
EV016-EV021,CH001,,,7/28/2019 18:44,7/28/2019 19:07,9.6,9.6,3.68,,
EV016-EV021,CH001,,,7/28/2019 17:23,7/28/2019 17:44,9.6,9.6,3.36,,
EV016-EV021,CH001,,,7/28/2019 16:00,7/28/2019 16:24,9.6,9.6,3.84,,
EV016-EV021,CH001,,,7/28/2019 14:47,7/28/2019 15:00,9.6,9.6,2.08,,
EV016-EV021,CH001,,,7/28/2019 13:52,7/28/2019 14:16,9.6,9.6,3.84,,
EV016-EV021,CH001,,,7/28/2019 12:35,7/28/2019 12:51,9.6,9.6,2.56,,
