Vehicle ID,Charger ID,Local Connect Time,Local Disconnect Time,Local Charge Start Time,Local Charge End Time,Average Power,Max Power,Total Energy Delivered,Starting SOC,Ending SOC,SOC Charged
EV053,CH009-CH012,,,07/21/2021 09:22:19,07/21/2021 13:59:50,11.0734821896547,14.0649995803833,51.2200012207031,56,100,44
EV053,CH009-CH012,,,09/01/2021 08:02:43,09/01/2021 12:26:20,13.382961219959,14.5249996185303,58.7999992370605,0,98,98
EV053,CH009-CH012,,,09/23/2021 13:29:17,09/23/2021 13:57:28,13.5803836611053,13.8719997406006,6.38000011444092,72,76,4
EV053,CH009-CH012,,,09/23/2021 16:47:07,09/24/2021 12:17:16,4.25124621281084,14.3009996414185,82.9100036621094,32.8,100,67.2
EV053,CH009-CH012,,,01/03/2022 05:25:51,01/03/2022 09:34:04,1.02727743883296,13.7550001144409,4.25,96.8,100,3.2
