Vehicle ID,Charger ID,Local Connect Time,Local Disconnect Time,Local Charge Start Time,Local Charge End Time,Average Power,Max Power,Total Energy Delivered,Starting SOC,Ending SOC,SOC Charged
EV064,CH009-CH012,,,05/03/2021 16:07:31,05/04/2021 04:17:34,1.99047812842933,25.8165795898438,24.21923828125,48.8,96.8,48
EV064,CH009-CH012,,,05/04/2021 08:55:16,05/04/2021 10:29:39,0.562739337575208,8.7023974609375,0.885261352539062,48.4,61.2,12.8
EV064,CH009-CH012,,,05/06/2021 08:57:54,05/06/2021 10:31:14,0.594684346343053,9.17846618652344,0.925181823730469,48.8,62.4,13.6
EV064,CH009-CH012,,,05/06/2021 12:00:20,05/07/2021 04:41:03,1.7874702647734,25.9134545898437,29.812966796875,27.2,97.2,70
EV064,CH009-CH012,,,05/07/2021 09:09:36,05/07/2021 10:28:44,0.304162503764176,5.88181823730469,0.401227264404297,43.6,55.2,11.6
EV064,CH009-CH012,,,05/10/2021 08:57:14,05/10/2021 10:29:30,0.619447276975761,9.17846618652344,0.952738647460938,49.6,62.4,12.8
EV064,CH009-CH012,,,05/10/2021 11:57:52,05/11/2021 04:16:28,1.75054307516507,25.4069091796875,28.551625,27.6,96.8,69.2
EV064,CH009-CH012,,,05/11/2021 09:04:58,05/11/2021 16:09:46,1.40463594569185,24.738466796875,9.9448525390625,44.4,95.2,50.8
EV064,CH009-CH012,,,05/11/2021 17:18:32,05/12/2021 08:20:23,2.52665373103487,25.9134545898437,37.97811328125,91.2,97.2,6
EV064,CH009-CH012,,,05/20/2021 09:05:31,05/20/2021 10:31:14,0.33154610945314,6.11709106445312,0.473670440673828,44,56,12
EV064,CH009-CH012,,,05/20/2021 11:58:55,05/21/2021 06:00:29,1.85231393600823,25.6560009765625,33.39043359375,21.6,97.2,75.6
EV064,CH009-CH012,,,05/21/2021 08:54:38,05/21/2021 10:33:05,0.54595586967442,8.94588623046875,0.895954528808594,47.6,61.6,14
EV064,CH009-CH012,,,05/24/2021 09:05:47,05/24/2021 10:32:12,0.693625656613144,9.88145446777344,0.999136352539063,51.6,63.6,12
EV064,CH009-CH012,,,05/24/2021 12:10:44,05/25/2021 04:13:15,1.71694164360715,25.9215234375,27.543408203125,27.6,98,70.4
EV064,CH009-CH012,,,05/26/2021 10:33:25,05/27/2021 06:52:19,2.56057899243848,25.8892260742188,52.01868359375,96.8,97.2,0.400000000000006
EV064,CH009-CH012,,,05/27/2021 06:53:34,05/27/2021 07:30:39,,25.6880004882813,,96.8,97.2,0.400000000000006
EV064,CH009-CH012,,,06/24/2021 09:41:29,06/24/2021 09:50:51,2.04517449390354,20.6975903320313,0.3195,85.6,86.4,0.799999999999997
EV064,CH009-CH012,,,09/20/2021 16:14:31,09/21/2021 06:36:49,1.45396266851742,25.6560009765625,20.896056640625,18.4,97.2,78.8
EV064,CH009-CH012,,,09/21/2021 08:02:14,09/21/2021 13:44:44,2.42164602763904,25.8730908203125,13.823818359375,79.6,98,18.4
EV064,CH009-CH012,,,09/21/2021 15:22:51,09/22/2021 06:39:21,2.37968224821126,25.6319995117187,36.34978515625,73.6,96.8,23.2
EV064,CH009-CH012,,,09/22/2021 08:03:27,09/22/2021 12:08:54,2.32456263005979,25.5839990234375,9.51001171875,79.2,96.8,17.6
EV064,CH009-CH012,,,09/22/2021 13:21:22,09/23/2021 06:39:30,2.38853251106121,25.9134545898437,41.32738671875,76.4,98,21.6
EV064,CH009-CH012,,,09/23/2021 15:24:13,09/24/2021 06:25:26,2.3959275640471,25.6639990234375,35.98805859375,72.8,97.2,24.4
EV064,CH009-CH012,,,09/24/2021 08:37:25,09/24/2021 13:41:31,1.81100634523783,25.1973754882812,9.1788291015625,61.2,96.4,35.2
EV064,CH009-CH012,,,09/29/2021 08:42:55,09/29/2021 11:45:33,1.52154451168296,21.403193359375,4.63182958984375,61.6,88,26.4
EV064,CH009-CH012,,,10/04/2021 08:03:53,10/04/2021 13:53:07,2.40857811073462,25.8650122070312,14.019806640625,79.6,97.2,17.6
EV064,CH009-CH012,,,10/04/2021 15:23:16,10/05/2021 06:43:19,2.46958167410455,25.92958984375,37.86944140625,76,97.2,21.2
EV064,CH009-CH012,,,10/05/2021 08:10:30,10/05/2021 13:47:55,2.41170538958801,25.856943359375,13.5630224609375,80,97.2,17.2
EV064,CH009-CH012,,,10/05/2021 15:20:23,10/06/2021 06:40:10,2.48684349842272,25.9376708984375,38.12301171875,77.6,97.2,19.6
EV064,CH009-CH012,,,10/06/2021 08:04:05,10/06/2021 11:40:13,2.26467358835821,25.5919995117188,8.15807958984375,78.4,97.2,18.8
EV064,CH009-CH012,,,10/06/2021 13:21:27,10/07/2021 06:40:59,2.52665572959452,25.6719995117187,43.7762265625,82.8,97.2,14.4
EV064,CH009-CH012,,,10/07/2021 07:59:16,10/07/2021 13:40:57,2.35433057341524,25.6480004882813,13.4077275390625,77.2,97.2,20
EV064,CH009-CH012,,,10/07/2021 15:21:29,10/08/2021 06:35:41,2.49107642699839,25.6480004882813,37.95633984375,78,97.2,19.2
EV064,CH009-CH012,,,10/11/2021 05:23:42,10/11/2021 05:26:47,2.15276097071947,25.6,0.110647727966309,97.2,97.2,0
EV064,CH009-CH012,,,10/11/2021 08:04:18,10/11/2021 13:45:28,2.29726679440022,25.64,13.0625908203125,74.4,97.2,22.8
EV064,CH009-CH012,,,10/11/2021 15:16:07,10/12/2021 06:44:59,2.51785982850461,25.6480004882813,38.9797734375,82.4,97.2,14.8
EV064,CH009-CH012,,,10/12/2021 08:05:08,10/12/2021 13:44:04,2.26289860403825,25.64,12.7832041015625,73.6,97.2,23.6
EV064,CH009-CH012,,,10/12/2021 15:19:05,10/13/2021 06:40:43,2.51698824547888,25.6480004882813,38.66238671875,82,97.2,15.2
EV064,CH009-CH012,,,10/13/2021 08:05:33,10/13/2021 11:45:43,2.16499878119457,25.173818359375,7.944693359375,75.2,96.4,21.2
EV064,CH009-CH012,,,10/13/2021 13:15:52,10/14/2021 06:42:02,2.51706611430707,25.6480004882813,43.888203125,81.6,97.2,15.6
EV064,CH009-CH012,,,10/14/2021 08:03:57,10/14/2021 13:35:35,2.25303055922268,25.64,12.45338671875,73.6,97.2,23.6
EV064,CH009-CH012,,,10/15/2021 08:03:23,10/15/2021 13:50:04,2.26434387064664,25.64,13.0836474609375,73.2,97.2,24
EV064,CH009-CH012,,,10/18/2021 08:20:49,10/18/2021 13:48:58,2.23488275752166,25.64,12.2235341796875,72,97.2,25.2
EV064,CH009-CH012,,,10/18/2021 15:22:09,10/19/2021 06:43:40,2.51197775406289,25.6480004882813,38.5807734375,81.6,97.2,15.6
EV064,CH009-CH012,,,10/19/2021 08:10:26,10/19/2021 13:42:28,2.1925039740191,25.6480004882813,12.133193359375,71.2,97.2,26
EV064,CH009-CH012,,,10/19/2021 15:19:03,10/19/2021 16:05:10,2.01660865613752,21.6517724609375,1.55044323730469,82,88.4,6.40000000000001
EV064,CH009-CH012,,,10/19/2021 16:05:58,10/20/2021 06:42:50,2.54189559586555,25.6480004882813,37.1485,88.4,97.2,8.8
EV064,CH009-CH012,,,10/20/2021 08:04:42,10/20/2021 11:48:32,2.17714101623459,25.1973754882812,8.1222841796875,75.2,96.4,21.2
EV064,CH009-CH012,,,10/20/2021 13:26:38,10/20/2021 14:24:24,2.10176276322948,23.0567260742188,2.02375,83.2,91.6,8.40000000000001
EV064,CH009-CH012,,,10/22/2021 08:03:04,10/22/2021 12:17:49,2.23163150715892,25.6319995117187,9.47551171875,75.6,97.2,21.6
EV064,CH009-CH012,,,10/25/2021 08:01:19,10/25/2021 12:13:48,1.12771262756166,19.7506823730469,4.745556640625,48.4,84.4,36
EV064,CH009-CH012,,,10/25/2021 12:56:45,10/25/2021 13:55:12,2.12628236253589,23.04958984375,2.07192041015625,84,91.6,7.60000000000001
EV064,CH009-CH012,,,10/26/2021 08:01:43,10/26/2021 13:47:34,1.64148733302628,24.70763671875,9.461943359375,51.6,95.2,43.6
EV064,CH009-CH012,,,10/26/2021 15:24:47,10/27/2021 06:46:01,2.50551607408783,25.6480004882813,38.469828125,80,97.2,17.2
EV064,CH009-CH012,,,10/27/2021 08:03:40,10/27/2021 11:43:20,2.20838428009713,25.4069091796875,8.0853408203125,75.2,96.8,21.6
EV064,CH009-CH012,,,10/27/2021 13:29:52,10/28/2021 06:45:09,2.52300706714963,25.6639990234375,43.53391015625,81.6,97.2,15.6
EV064,CH009-CH012,,,10/28/2021 09:02:16,10/28/2021 13:43:24,1.30152235871943,23.2991943359375,6.09863623046875,48.4,92,43.6
EV064,CH009-CH012,,,10/28/2021 15:15:03,10/29/2021 06:48:12,2.48833471272337,25.6480004882813,38.700328125,76.4,97.2,20.8
EV064,CH009-CH012,,,10/29/2021 07:59:36,10/29/2021 13:42:42,2.35014201016335,25.6480004882813,13.439056640625,76,97.2,21.2
EV064,CH009-CH012,,,11/01/2021 07:59:46,11/01/2021 13:53:39,2.38680767013745,25.6480004882813,14.0781474609375,78,97.2,19.2
EV064,CH009-CH012,,,11/01/2021 15:31:45,11/02/2021 06:40:00,2.42066643199775,25.6480004882813,36.6428515625,68.8,96.4,27.6
EV064,CH009-CH012,,,11/02/2021 07:57:14,11/02/2021 11:46:06,2.30442406240607,25.6480004882813,8.79051171875,78,97.2,19.2
EV064,CH009-CH012,,,11/03/2021 15:43:43,11/04/2021 06:43:30,2.43244720934311,25.6480004882813,36.47796484375,71.2,97.2,26
EV064,CH009-CH012,,,11/04/2021 08:02:33,11/04/2021 13:54:18,2.40449762053199,25.8246484375,14.0966591796875,79.2,97.2,18
EV064,CH009-CH012,,,11/04/2021 15:35:47,11/05/2021 06:46:42,2.46152143492466,25.6480004882813,37.370953125,73.2,97.2,24
EV064,CH009-CH012,,,11/05/2021 08:02:19,11/05/2021 13:50:38,2.25097246390481,25.64,13.0678974609375,71.2,97.2,26
EV064,CH009-CH012,,,11/08/2021 08:00:54,11/08/2021 08:04:05,1.04495940116479,12.3345458984375,0.0554545440673828,69.2,69.2,0
EV064,CH009-CH012,,,11/08/2021 09:52:40,11/08/2021 09:55:51,0.981628004208478,11.6363635253906,0.0520909080505371,67.6,67.6,0
EV064,CH009-CH012,,,11/08/2021 15:31:13,11/09/2021 06:47:28,2.05125460562019,25.6480004882813,31.32463671875,42,97.2,55.2
EV064,CH009-CH012,,,11/09/2021 08:00:44,11/09/2021 08:03:55,1.28162110895799,15.1272729492187,0.068011360168457,75.2,75.2,0
EV064,CH009-CH012,,,11/09/2021 15:25:45,11/10/2021 06:43:56,2.24429147778308,25.6480004882813,34.34481640625,54,97.2,43.2
EV064,CH009-CH012,,,11/10/2021 08:23:17,11/10/2021 11:29:33,1.86211703710275,24.7847265625,5.78120458984375,68,95.2,27.2
EV064,CH009-CH012,,,11/12/2021 08:30:30,11/12/2021 13:34:16,1.56235479230658,25.2287963867187,7.91022705078125,52.4,96.4,44
EV064,CH009-CH012,,,11/15/2021 08:32:22,11/15/2021 10:14:37,1.12130471383732,14.8359204101563,1.91114770507812,58.8,74,15.2
EV064,CH009-CH012,,,11/01/2021 07:59:46,11/01/2021 13:53:39,2.38680767013745,25.6480004882813,14.0781474609375,78,97.2,19.2
EV064,CH009-CH012,,,11/01/2021 15:31:45,11/02/2021 06:40:00,2.42066643199775,25.6480004882813,36.6428515625,68.8,96.4,27.6
EV064,CH009-CH012,,,11/02/2021 07:57:14,11/02/2021 11:46:06,2.30442406240607,25.6480004882813,8.79051171875,78,97.2,19.2
EV064,CH009-CH012,,,11/03/2021 15:43:43,11/04/2021 06:43:30,2.43244720934311,25.6480004882813,36.47796484375,71.2,97.2,26
EV064,CH009-CH012,,,11/04/2021 08:02:33,11/04/2021 13:54:18,2.40449762053199,25.8246484375,14.0966591796875,79.2,97.2,18
EV064,CH009-CH012,,,11/04/2021 15:35:47,11/05/2021 06:46:42,2.46152143492466,25.6480004882813,37.370953125,73.2,97.2,24
EV064,CH009-CH012,,,11/05/2021 08:02:19,11/05/2021 13:50:38,2.25097246390481,25.64,13.0678974609375,71.2,97.2,26
EV064,CH009-CH012,,,11/08/2021 08:00:54,11/08/2021 08:04:05,1.04495940116479,12.3345458984375,0.0554545440673828,69.2,69.2,0
EV064,CH009-CH012,,,11/08/2021 09:52:40,11/08/2021 09:55:51,0.981628004208478,11.6363635253906,0.0520909080505371,67.6,67.6,0
EV064,CH009-CH012,,,11/08/2021 15:31:13,11/09/2021 06:47:28,2.05125460562019,25.6480004882813,31.32463671875,42,97.2,55.2
EV064,CH009-CH012,,,11/09/2021 08:00:44,11/09/2021 08:03:55,1.28162110895799,15.1272729492187,0.068011360168457,75.2,75.2,0
EV064,CH009-CH012,,,11/09/2021 15:25:45,11/10/2021 06:43:56,2.24429147778308,25.6480004882813,34.34481640625,54,97.2,43.2
EV064,CH009-CH012,,,11/10/2021 08:23:17,11/10/2021 11:29:33,1.86211703710275,24.7847265625,5.78120458984375,68,95.2,27.2
EV064,CH009-CH012,,,11/12/2021 08:30:30,11/12/2021 13:34:16,1.56235479230658,25.2287963867187,7.91022705078125,52.4,96.4,44
EV064,CH009-CH012,,,11/15/2021 08:32:22,11/15/2021 10:14:37,1.12130471383732,14.8359204101563,1.91114770507812,58.8,74,15.2
EV064,CH009-CH012,,,02/23/2022 16:49:33,02/23/2022 17:03:05,1.82438348776905,18.2491589355469,0.411545440673828,81.6,81.6,0
EV064,CH009-CH012,,,02/23/2022 17:03:22,02/24/2022 06:28:41,2.46642013275798,25.72,33.10468359375,81.6,96.8,15.2
EV064,CH009-CH012,,,02/24/2022 08:06:30,02/25/2022 07:39:18,1.76318428475633,25.72,41.51748828125,37.6,96.8,59.2
EV064,CH009-CH012,,,03/04/2022 06:47:01,03/04/2022 12:49:31,2.15280374266794,25.6480004882813,13.0067958984375,68.8,97.2,28.4
EV064,CH009-CH012,,,03/04/2022 12:51:32,03/04/2022 12:52:30,2.04788991973709,25.3672729492188,0.0334431800842285,96.8,96.8,0
EV064,CH009-CH012,,,03/04/2022 18:10:46,03/05/2022 08:35:38,2.54783440692081,25.6480004882813,36.72601171875,96,96.8,0.799999999999997
EV064,CH009-CH012,,,03/28/2022 12:34:23,03/28/2022 14:05:49,0.35446149633049,7.30472717285156,0.540170471191406,42.8,58.4,15.6
EV064,CH009-CH012,,,03/31/2022 08:58:58,03/31/2022 13:47:12,1.73987090219539,25.25236328125,8.358431640625,57.2,96.4,39.2
EV064,CH009-CH012,,,03/31/2022 13:50:32,03/31/2022 13:50:53,2.50436628963806,25.2837719726563,0.0149545450210571,96.4,96.4,0
EV064,CH009-CH012,,,03/31/2022 16:14:01,04/01/2022 05:10:30,2.29717963627659,25.6480004882813,29.7292265625,60.4,97.2,36.8
EV064,CH009-CH012,,,04/01/2022 09:17:52,04/01/2022 14:01:32,1.8029225314487,25.25236328125,8.5239658203125,59.2,96.4,37.2
EV064,CH009-CH012,,,04/04/2022 08:47:12,04/04/2022 13:56:06,1.4511515633688,25.0418872070313,7.471193359375,48.8,96,47.2
EV064,CH009-CH012,,,04/04/2022 16:20:32,04/05/2022 05:37:10,1.94983230789275,25.6480004882813,25.888466796875,40,97.2,57.2
EV064,CH009-CH012,,,04/05/2022 09:11:23,04/05/2022 13:52:40,1.79748882640071,25.25236328125,8.4268408203125,59.2,96.4,37.2
EV064,CH009-CH012,,,04/05/2022 16:29:14,04/06/2022 05:42:36,2.22215580518667,25.6480004882813,29.383681640625,54.8,97.2,42.4
EV064,CH009-CH012,,,04/06/2022 09:04:11,04/06/2022 12:05:31,1.2695827523925,19.3102502441406,3.837,55.2,83.6,28.4
EV064,CH009-CH012,,,04/06/2022 14:06:06,04/07/2022 05:43:56,2.06507922786476,25.6480004882813,32.278419921875,41.6,97.2,55.6
EV064,CH009-CH012,,,04/07/2022 09:06:16,04/07/2022 13:42:46,0.927856929611406,19.5457385253906,4.27592041015625,40.4,84,43.6
EV064,CH009-CH012,,,04/07/2022 15:54:00,04/08/2022 05:45:17,1.68180860127275,25.64,23.3011484375,26.8,97.2,70.4
EV064,CH009-CH012,,,04/08/2022 09:07:57,04/08/2022 13:25:45,0.658532302393116,15.7730114746094,2.82963647460938,36,76,40
