Vehicle ID,Charger ID,Local Connect Time,Local Disconnect Time,Local Charge Start Time,Local Charge End Time,Average Power,Max Power,Total Energy Delivered,Starting SOC,Ending SOC
EV028,CH007-CH008,,,8/2/2018 16:27,8/2/2018 16:40,149.51,167.42,33.087,52,96.5
EV028,CH007-CH008,,,8/2/2018 15:25,8/2/2018 15:35,169.375,250.08,27.044,54.5,89.5
EV028,CH007-CH008,,,8/2/2018 14:26,8/2/2018 14:31,303.715,339.5,24.262,58,91.5
EV028,CH007-CH008,,,8/2/2018 13:28,8/2/2018 13:33,251.584,347.06,26.75,58.5,95.5
EV028,CH007-CH008,,,8/2/2018 12:28,8/2/2018 12:36,259.175,373.64,31.256,55.5,97
EV028,CH007-CH008,,,8/2/2018 11:27,8/2/2018 11:32,112.555,230.98,19.568,73,99.5
EV028,CH007-CH008,,,8/2/2018 10:25,8/2/2018 10:33,248.669,351.58,27.996,59,97.5
EV028,CH007-CH008,,,8/2/2018 9:29,8/2/2018 9:35,202.477,263.52,26.279,55.5,89.5
EV028,CH007-CH008,,,8/2/2018 8:23,8/2/2018 8:29,252.414,303.98,20.207,72.5,99.5
EV028,CH007-CH008,,,8/2/2018 7:23,8/2/2018 7:30,266.771,305.52,22.672,66.5,99.5
EV028,CH007-CH008,,,8/2/2018 6:30,8/2/2018 6:37,237.088,342.8,24.837,64,99.5
EV028,CH007-CH008,,,8/1/2018 21:49,8/1/2018 22:28,37.906,41.14,25.973,62.5,100
EV028,CH007-CH008,,,8/1/2018 12:18,8/1/2018 12:29,267.373,369.86,40.514,46,99
EV028,CH007-CH008,,,7/19/2018 16:30,7/19/2018 17:01,53.07,92.02,39.012,38.5,90.5
EV028,CH007-CH008,,,7/19/2018 14:39,7/19/2018 15:05,28.842,64,29.805,41,82.5
EV028,CH007-CH008,,,7/19/2018 13:25,7/19/2018 13:42,80.98,143.76,26.863,40.5,77
EV028,CH007-CH008,,,7/19/2018 12:30,7/19/2018 12:37,140.902,152.5,16.498,51,74
EV028,CH007-CH008,,,7/19/2018 11:24,7/19/2018 11:30,286.334,349.2,28.143,53,89.5
EV028,CH007-CH008,,,7/19/2018 10:28,7/19/2018 10:34,327.492,364.6,27.116,57.5,94.5
EV028,CH007-CH008,,,7/19/2018 9:24,7/19/2018 9:33,270.749,364.4,30.905,56.5,99
EV028,CH007-CH008,,,7/19/2018 8:24,7/19/2018 8:31,270.262,357.78,28.166,58.5,97
EV028,CH007-CH008,,,7/19/2018 7:24,7/19/2018 7:33,332.859,373.86,31.595,56,99.5
EV028,CH007-CH008,,,7/19/2018 6:24,7/19/2018 6:29,252.002,306.8,21.28,71.5,99.5
EV028,CH007-CH008,,,7/19/2018 1:35,7/19/2018 1:44,294.22,358.02,33.862,55.5,100
EV028,CH007-CH008,,,7/16/2018 12:35,7/16/2018 12:38,115.983,304.34,4.187,93.5,99.5
EV028,CH007-CH008,,,7/16/2018 12:16,7/16/2018 12:27,182.45,361.04,16.559,76,95.5
EV028,CH007-CH008,,,7/12/2018 18:00,7/12/2018 18:35,92.732,142.12,57.328,13,96
EV028,CH007-CH008,,,7/12/2018 16:42,7/12/2018 17:05,41.506,50.66,19.139,26,52.5
EV028,CH007-CH008,,,7/12/2018 15:39,7/12/2018 15:58,73.658,132.82,18.346,37.5,62
EV028,CH007-CH008,,,7/12/2018 14:44,7/12/2018 14:51,118.924,141.4,16.191,50,73
EV028,CH007-CH008,,,7/12/2018 13:45,7/12/2018 13:52,248.146,332.8,31.933,49.5,91.5
EV028,CH007-CH008,,,7/12/2018 12:44,7/12/2018 12:49,157.172,258.74,19.134,72.5,98.5
EV028,CH007-CH008,,,7/12/2018 11:43,7/12/2018 11:53,276.315,346.72,32.12,55.5,99
EV028,CH007-CH008,,,7/12/2018 10:47,7/12/2018 10:52,279.393,359.36,19.164,72.5,98.5
EV028,CH007-CH008,,,7/12/2018 9:43,7/12/2018 9:49,328.085,371.38,23.566,64.5,99
EV028,CH007-CH008,,,7/12/2018 8:45,7/12/2018 8:51,228.997,373.9,23.147,65,99
EV028,CH007-CH008,,,7/12/2018 7:44,7/12/2018 7:50,314.058,359.36,20.303,72,99.5
EV028,CH007-CH008,,,7/12/2018 6:45,7/12/2018 6:52,200.664,343.58,25.294,62.5,99
EV028,CH007-CH008,,,7/12/2018 5:49,7/12/2018 5:54,207.006,369.96,14.876,79.5,100
EV028,CH007-CH008,,,7/10/2018 23:23,7/10/2018 23:29,238.005,348.98,22.774,65.5,99
EV028,CH007-CH008,,,7/10/2018 15:50,7/10/2018 16:25,53.949,60.4,49.449,28,98
EV028,CH007-CH008,,,7/10/2018 14:43,7/10/2018 14:59,47.004,74.52,14.301,41.5,60.5
EV028,CH007-CH008,,,7/10/2018 13:45,7/10/2018 13:53,94.929,155.18,16.41,53,75.5
EV028,CH007-CH008,,,7/10/2018 12:47,7/10/2018 12:54,260.323,354.1,26.192,57,92
EV028,CH007-CH008,,,7/10/2018 11:46,7/10/2018 11:52,291.761,356.12,27.377,58,95.5
EV028,CH007-CH008,,,7/10/2018 10:45,7/10/2018 10:51,264.64,290.22,26.341,59,95.5
EV028,CH007-CH008,,,7/10/2018 9:45,7/10/2018 9:51,218.441,281.78,26.478,59,96.5
EV028,CH007-CH008,,,7/10/2018 8:44,7/10/2018 8:51,322.678,371.42,24.329,64,99.5
EV028,CH007-CH008,,,7/10/2018 7:44,7/10/2018 7:51,239.569,307.3,25.208,62,97.5
EV028,CH007-CH008,,,7/10/2018 6:47,7/10/2018 6:55,241.678,315.3,26.985,60,97
EV028,CH007-CH008,,,7/10/2018 5:50,7/10/2018 5:55,237.862,371.34,21.033,72,99
EV028,CH007-CH008,,,7/9/2018 14:12,7/9/2018 14:22,-9.533,-9.04,43.682,42.5,100
EV028,CH007-CH008,,,6/26/2018 6:22,6/26/2018 6:29,68.65,210.3,25.432,58.5,93.5
EV028,CH007-CH008,,,6/25/2018 21:43,6/25/2018 23:53,29.476,42.36,42.027,37.5,95
EV028,CH007-CH008,,,5/10/2018 12:43,5/10/2018 14:37,21.941,41.42,30.144,54,94
EV028,CH007-CH008,,,3/27/2018 12:55,3/27/2018 13:01,252.14,279.22,21.957,67.5,99.5
EV028,CH007-CH008,,,3/27/2018 11:45,3/27/2018 11:50,237.005,374.44,21.638,71.5,100
EV028,CH007-CH008,,,3/27/2018 10:44,3/27/2018 10:50,289.575,317.62,20.135,73.5,100
EV028,CH007-CH008,,,3/27/2018 9:46,3/27/2018 9:53,258.774,293.7,23.445,65.5,100
EV028,CH007-CH008,,,3/27/2018 8:42,3/27/2018 8:47,236.556,288.9,17.454,76,100
EV028,CH007-CH008,,,3/27/2018 7:44,3/27/2018 7:53,216.428,342.6,28.085,60.5,100
EV028,CH007-CH008,,,3/27/2018 6:46,3/27/2018 6:52,258.883,347.92,25.425,56,89.5
EV028,CH007-CH008,,,3/27/2018 5:45,3/27/2018 5:52,219.439,271.22,17.886,75.5,100
EV028,CH007-CH008,,,3/25/2018 18:59,3/25/2018 19:05,231.192,291.28,22.986,65,99.5
EV028,CH007-CH008,,,3/25/2018 18:09,3/25/2018 18:16,146.485,249.3,25.276,61.5,97
EV028,CH007-CH008,,,3/25/2018 17:08,3/25/2018 17:15,209.351,252.96,24.952,62.5,97.5
EV028,CH007-CH008,,,3/25/2018 16:03,3/25/2018 16:09,323.397,366.6,23.087,65.5,99.5
EV028,CH007-CH008,,,3/25/2018 15:05,3/25/2018 15:14,129.607,246.3,30.974,56.5,98.5
EV028,CH007-CH008,,,3/25/2018 14:05,3/25/2018 14:10,304.097,379.14,23.888,60,93.5
EV028,CH007-CH008,,,3/25/2018 13:07,3/25/2018 13:11,200.873,330.22,23.028,63,95
EV028,CH007-CH008,,,3/25/2018 12:02,3/25/2018 12:08,281.098,341.44,23.169,66.5,99.5
EV028,CH007-CH008,,,3/25/2018 10:59,3/25/2018 11:05,276.149,317.6,21.449,71,100
EV028,CH007-CH008,,,3/25/2018 9:58,3/25/2018 10:10,219.926,277.38,30.545,56,97
EV028,CH007-CH008,,,3/25/2018 8:58,3/25/2018 9:05,195.947,361.24,16.087,77.5,99
EV028,CH007-CH008,,,3/24/2018 18:42,3/24/2018 18:48,185.084,250.78,21.684,67,100
EV028,CH007-CH008,,,3/24/2018 17:46,3/24/2018 17:55,238.12,254.16,27.548,60,98.5
EV028,CH007-CH008,,,3/24/2018 17:39,3/24/2018 17:39,30.18,161.4,1.298,59,61
EV028,CH007-CH008,,,3/24/2018 16:41,3/24/2018 16:48,230.977,298.7,20.974,72,100
EV028,CH007-CH008,,,3/24/2018 15:33,3/24/2018 15:40,273.187,340.46,24.532,64,100
EV028,CH007-CH008,,,3/24/2018 14:36,3/24/2018 14:42,199.851,233.24,20.669,72,100
EV028,CH007-CH008,,,3/24/2018 13:33,3/24/2018 13:38,279.622,348.38,19.475,74,100
EV028,CH007-CH008,,,3/24/2018 12:28,3/24/2018 12:35,193.902,220.76,18.226,75,100
EV028,CH007-CH008,,,3/24/2018 11:32,3/24/2018 11:39,250.002,364.28,25.64,63,100
EV028,CH007-CH008,,,3/24/2018 10:30,3/24/2018 10:37,221.963,288.04,22.012,67,100
EV028,CH007-CH008,,,3/24/2018 9:29,3/24/2018 9:38,190.195,284.46,26.863,61,98.5
EV028,CH007-CH008,,,3/24/2018 8:24,3/24/2018 8:33,259.17,317.22,38.21,44,94.5
EV028,CH007-CH008,,,3/23/2018 19:18,3/23/2018 19:24,218.824,368.4,20.718,71.5,99.5
EV028,CH007-CH008,,,3/23/2018 18:21,3/23/2018 18:28,275.795,376.86,22.193,66.5,99.5
EV028,CH007-CH008,,,3/23/2018 17:25,3/23/2018 17:30,232.139,367.44,17.981,75,99.5
EV028,CH007-CH008,,,3/23/2018 16:19,3/23/2018 16:26,303.499,363.38,25.941,62.5,99.5
EV028,CH007-CH008,,,3/23/2018 15:07,3/23/2018 15:12,249.132,376.12,19.167,74,100
EV028,CH007-CH008,,,3/23/2018 14:01,3/23/2018 14:10,219.619,345.8,29.902,57.5,99.5
EV028,CH007-CH008,,,3/23/2018 13:09,3/23/2018 13:13,257.651,320.2,18.694,65.5,92
EV028,CH007-CH008,,,3/23/2018 12:10,3/23/2018 12:17,202.43,265.52,21.459,68,100
EV028,CH007-CH008,,,3/23/2018 11:03,3/23/2018 11:08,246.557,339.9,18.665,74.5,100
EV028,CH007-CH008,,,3/23/2018 10:02,3/23/2018 10:09,224.673,298.18,25.106,62.5,98.5
EV028,CH007-CH008,,,3/23/2018 9:05,3/23/2018 9:16,255.945,285.18,33.076,55,100
EV028,CH007-CH008,,,3/23/2018 8:06,3/23/2018 8:15,297.456,381.38,36.366,50,98
EV028,CH007-CH008,,,3/23/2018 7:06,3/23/2018 7:12,292.486,378.8,30.361,48,88.5
EV028,CH007-CH008,,,3/23/2018 6:08,3/23/2018 6:15,217.927,282.14,27.795,47,84.5
EV028,CH007-CH008,,,3/22/2018 19:19,3/22/2018 19:29,190.003,216.38,26.248,61,99.5
EV028,CH007-CH008,,,3/22/2018 18:11,3/22/2018 18:19,191.42,259.58,19.598,73,99.5
EV028,CH007-CH008,,,3/22/2018 17:07,3/22/2018 17:16,254.582,341.8,29.361,57.5,97.5
EV028,CH007-CH008,,,3/22/2018 16:09,3/22/2018 16:19,212.285,248.12,35.187,49.5,96.5
EV028,CH007-CH008,,,3/22/2018 15:09,3/22/2018 15:13,107.619,275.8,14.854,60,81.5
EV028,CH007-CH008,,,3/22/2018 13:58,3/22/2018 14:05,240.224,297.14,21.572,67,99
EV028,CH007-CH008,,,3/22/2018 13:02,3/22/2018 13:09,206.693,242.5,22.402,65,97.5
EV028,CH007-CH008,,,3/22/2018 12:06,3/22/2018 12:11,245.198,269.18,19.204,74,100
EV028,CH007-CH008,,,3/22/2018 11:06,3/22/2018 11:16,143.118,212.64,27.541,60,100
EV028,CH007-CH008,,,3/22/2018 10:04,3/22/2018 10:10,207.941,330.2,27.697,55.5,91
EV028,CH007-CH008,,,3/22/2018 9:02,3/22/2018 9:11,233.807,329.06,28.256,60,100
EV028,CH007-CH008,,,3/22/2018 8:04,3/22/2018 8:15,232.377,364.86,36.645,52,99.5
EV028,CH007-CH008,,,3/22/2018 7:06,3/22/2018 7:13,190.1,236.54,27.82,51.5,87.5
EV028,CH007-CH008,,,3/22/2018 6:09,3/22/2018 6:15,269.074,326.58,25.988,51,85
EV028,CH007-CH008,,,3/19/2018 19:16,3/19/2018 19:21,257.349,302.86,20.797,71,99
EV028,CH007-CH008,,,3/19/2018 18:11,3/19/2018 18:19,277.446,311.9,25.755,61.5,99
EV028,CH007-CH008,,,3/19/2018 17:11,3/19/2018 17:17,289.559,316.16,27.486,59.5,96.5
EV028,CH007-CH008,,,3/19/2018 16:12,3/19/2018 16:19,294.788,343.9,33.082,52.5,96
EV028,CH007-CH008,,,3/19/2018 15:18,3/19/2018 15:20,283.319,336.94,12.242,75.5,91
EV028,CH007-CH008,,,3/19/2018 14:09,3/19/2018 14:18,218.465,314.24,30.327,57,99.5
EV028,CH007-CH008,,,3/19/2018 13:15,3/19/2018 13:19,271.558,321.94,17.113,66,91
EV028,CH007-CH008,,,3/19/2018 12:07,3/19/2018 12:16,216.695,304.14,28.392,58.5,99
EV028,CH007-CH008,,,3/19/2018 11:04,3/19/2018 11:08,240.517,332.16,19.664,64,92
EV028,CH007-CH008,,,3/19/2018 10:04,3/19/2018 10:09,325.449,362.98,25.666,59,94.5
EV028,CH007-CH008,,,3/19/2018 9:04,3/19/2018 9:16,216.999,318.24,33.426,55,100
EV028,CH007-CH008,,,3/19/2018 8:07,3/19/2018 8:16,229.261,353.42,34.9,50,96
EV028,CH007-CH008,,,3/19/2018 7:08,3/19/2018 7:17,252.925,289.76,38.235,41.5,92.5
EV028,CH007-CH008,,,3/19/2018 6:10,3/19/2018 6:15,296.365,351.7,27.003,45,81
EV028,CH007-CH008,,,3/17/2018 18:45,3/17/2018 18:54,197.356,286.8,25.649,62.5,100
EV028,CH007-CH008,,,3/17/2018 17:42,3/17/2018 17:48,195.67,278.02,28.689,55,92
EV028,CH007-CH008,,,3/17/2018 16:38,3/17/2018 16:44,187.392,249.7,17.22,65,89.5
EV028,CH007-CH008,,,3/17/2018 15:34,3/17/2018 15:43,264.319,320.58,27.506,61,100
EV028,CH007-CH008,,,3/17/2018 14:34,3/17/2018 14:39,193.746,274.82,17.715,76,100
EV028,CH007-CH008,,,3/17/2018 13:36,3/17/2018 13:43,245.38,354.14,26.087,62.5,98.5
EV028,CH007-CH008,,,3/17/2018 12:28,3/17/2018 12:35,218.553,276.18,21.667,71,100
EV028,CH007-CH008,,,3/17/2018 11:30,3/17/2018 11:36,243.799,291.32,17.211,77,100
EV028,CH007-CH008,,,3/17/2018 10:27,3/17/2018 10:39,179.548,212.82,31.284,55,96.5
EV028,CH007-CH008,,,3/17/2018 9:33,3/17/2018 9:39,214.432,231.36,22.378,54.5,84.5
EV028,CH007-CH008,,,3/17/2018 8:22,3/17/2018 8:33,195.035,256.92,36.593,45,93.5
EV028,CH007-CH008,,,3/16/2018 17:46,3/16/2018 17:51,273.607,352.16,19.162,74,100
EV028,CH007-CH008,,,3/16/2018 16:48,3/16/2018 16:54,227.402,381.76,22.744,66.5,100
EV028,CH007-CH008,,,3/16/2018 15:44,3/16/2018 15:51,217.042,255.68,25.354,59,94.5
EV028,CH007-CH008,,,3/16/2018 14:46,3/16/2018 14:51,106.037,237.16,21.047,63,93
EV028,CH007-CH008,,,3/16/2018 13:44,3/16/2018 13:50,79.379,214.28,20.93,72.5,100
EV028,CH007-CH008,,,3/16/2018 12:43,3/16/2018 12:50,248.072,287.58,24.239,65,100
EV028,CH007-CH008,,,3/16/2018 11:40,3/16/2018 11:47,168.14,201.98,20.656,72.5,100
EV028,CH007-CH008,,,3/16/2018 10:39,3/16/2018 10:51,203.288,222.46,35.779,51.5,100
EV028,CH007-CH008,,,3/16/2018 9:44,3/16/2018 9:51,173.846,205.74,25.574,55,89
EV028,CH007-CH008,,,3/16/2018 8:43,3/16/2018 8:55,223.278,328.16,30.262,57.5,100
EV028,CH007-CH008,,,3/16/2018 7:43,3/16/2018 7:51,225.6,366.32,30.513,52,91.5
EV028,CH007-CH008,,,3/16/2018 6:47,3/16/2018 6:52,260.324,333.12,21.557,55,83.5
EV028,CH007-CH008,,,3/16/2018 5:46,3/16/2018 5:51,161.547,309.08,12.861,81.5,100
EV028,CH007-CH008,,,3/14/2018 17:49,3/14/2018 17:56,149.306,290.66,23.418,65,100
EV028,CH007-CH008,,,3/14/2018 16:42,3/14/2018 16:50,175.156,241.08,23.029,65.5,100
EV028,CH007-CH008,,,3/14/2018 15:43,3/14/2018 15:51,269.05,323.68,30.183,54.5,94
EV028,CH007-CH008,,,3/14/2018 14:46,3/14/2018 14:52,169.097,213.64,20.851,57,86.5
EV028,CH007-CH008,,,3/14/2018 13:43,3/14/2018 13:51,204.412,250.14,30.295,55,94.5
EV028,CH007-CH008,,,3/14/2018 12:48,3/14/2018 12:52,246.261,298.36,18.35,65.5,91.5
EV028,CH007-CH008,,,3/14/2018 11:44,3/14/2018 11:50,247.265,308.92,22.379,65.5,97
EV028,CH007-CH008,,,3/14/2018 10:47,3/14/2018 10:54,232.033,261.02,23.523,65.5,100
EV028,CH007-CH008,,,3/14/2018 9:44,3/14/2018 9:53,165.677,193.32,23.795,65,100
EV028,CH007-CH008,,,3/14/2018 8:44,3/14/2018 8:51,249.444,292.42,21.833,67.5,100
EV028,CH007-CH008,,,3/14/2018 7:44,3/14/2018 7:54,164.175,278.72,28.692,56,97.5
EV028,CH007-CH008,,,3/14/2018 6:47,3/14/2018 6:53,229.395,265.72,21.737,62,93
EV028,CH007-CH008,,,3/14/2018 5:49,3/14/2018 5:53,198.177,287.34,8.655,87,100
EV028,CH007-CH008,,,3/13/2018 17:48,3/13/2018 17:55,253.354,300.96,23.834,64,99
EV028,CH007-CH008,,,3/13/2018 16:43,3/13/2018 16:49,242.772,306.62,19.858,72.5,99.5
EV028,CH007-CH008,,,3/13/2018 15:43,3/13/2018 15:53,203.632,288.8,33.129,53,97
EV028,CH007-CH008,,,3/13/2018 14:48,3/13/2018 14:52,217.919,255.32,17.762,61.5,86.5
EV028,CH007-CH008,,,3/13/2018 13:45,3/13/2018 13:52,320.509,376.82,28.165,57,95
EV028,CH007-CH008,,,3/13/2018 12:45,3/13/2018 12:51,261.162,312.68,24.389,56.5,89
EV028,CH007-CH008,,,3/13/2018 11:44,3/13/2018 11:50,124.935,212.18,20.265,65,94.5
EV028,CH007-CH008,,,3/13/2018 10:44,3/13/2018 10:51,235.946,289.4,25.973,62.5,100
EV028,CH007-CH008,,,3/13/2018 9:45,3/13/2018 9:52,240.547,295.6,24.375,64,99.5
EV028,CH007-CH008,,,3/13/2018 8:44,3/13/2018 8:50,284.405,376.96,21.9,67.5,100
EV028,CH007-CH008,,,3/13/2018 7:47,3/13/2018 7:54,268.725,317.22,29.298,57,96
EV028,CH007-CH008,,,3/13/2018 6:49,3/13/2018 6:54,215.77,274.86,18.618,63.5,90
EV028,CH007-CH008,,,3/13/2018 5:48,3/13/2018 5:55,247.501,320.34,28.474,54,91
EV028,CH007-CH008,,,3/12/2018 17:47,3/12/2018 17:48,286.709,360.62,6.372,62.5,73.5
EV028,CH007-CH008,,,3/12/2018 16:40,3/12/2018 16:48,316.373,345.1,28.917,58,99
EV028,CH007-CH008,,,3/12/2018 15:40,3/12/2018 15:46,265.76,374.82,20.676,71.5,99.5
EV028,CH007-CH008,,,3/12/2018 14:43,3/12/2018 14:52,302.449,372.2,33.994,54,100
EV028,CH007-CH008,,,3/12/2018 13:42,3/12/2018 13:50,248.773,346.4,26.295,61.5,100
EV028,CH007-CH008,,,3/12/2018 12:43,3/12/2018 12:51,231.245,373.5,25.494,63,100
EV028,CH007-CH008,,,3/12/2018 11:43,3/12/2018 11:53,265.921,343.64,35.04,53.5,100
EV028,CH007-CH008,,,3/12/2018 10:48,3/12/2018 10:50,276.57,344.22,10.183,72,84.5
EV028,CH007-CH008,,,3/12/2018 9:44,3/12/2018 9:51,267.21,316.02,23.21,66.5,100
EV028,CH007-CH008,,,3/12/2018 8:47,3/12/2018 8:52,265.414,361.08,21.281,65,95
EV028,CH007-CH008,,,3/12/2018 7:44,3/12/2018 7:52,224.348,341.48,26.069,58,94
EV028,CH007-CH008,,,3/12/2018 6:41,3/12/2018 6:46,213.457,276.44,13.956,79,97.5
EV028,CH007-CH008,,,3/7/2018 18:45,3/7/2018 18:53,197.256,321.16,23.539,65,99
EV028,CH007-CH008,,,3/7/2018 17:32,3/7/2018 17:37,247.967,321.92,16.704,76,99
EV028,CH007-CH008,,,3/7/2018 16:22,3/7/2018 16:31,276.071,328.32,32.928,54.5,99
EV028,CH007-CH008,,,3/7/2018 15:24,3/7/2018 15:31,188.419,279.28,20.829,71.5,99.5
EV028,CH007-CH008,,,3/7/2018 14:21,3/7/2018 14:29,299.914,338.98,27.684,60,99.5
EV028,CH007-CH008,,,3/7/2018 13:22,3/7/2018 13:28,296.149,324.46,25.04,63,99
EV028,CH007-CH008,,,3/7/2018 12:26,3/7/2018 12:31,76.656,200.64,25.299,61.5,96.5
EV028,CH007-CH008,,,3/7/2018 11:23,3/7/2018 11:30,310.431,369.1,27.526,60,98.5
EV028,CH007-CH008,,,3/7/2018 10:22,3/7/2018 10:29,247.044,311.76,25.474,62,97.5
