Vehicle ID,Charger ID,Local Connect Time,Local Disconnect Time,Local Charge Start Time,Local Charge End Time,Average Power,Max Power,Total Energy Delivered,Starting SOC,Ending SOC
EV027,CH007-CH008,,,8/8/2018 16:10,8/8/2018 16:18,312.99,363.58,38.579,47.5,98.5
EV027,CH007-CH008,,,8/8/2018 15:10,8/8/2018 15:11,285.048,347.42,8.075,59.5,72
EV027,CH007-CH008,,,8/8/2018 13:54,8/8/2018 13:59,315.308,358.18,22.269,67.5,100
EV027,CH007-CH008,,,8/8/2018 12:58,8/8/2018 13:03,305.961,358.08,21.873,67.5,99.5
EV027,CH007-CH008,,,8/8/2018 11:55,8/8/2018 12:01,218.293,340.68,20.005,73,100
EV027,CH007-CH008,,,8/8/2018 10:58,8/8/2018 11:04,273.965,322.06,21.65,68,99
EV027,CH007-CH008,,,8/8/2018 9:56,8/8/2018 10:02,285.868,326.28,19.9,73.5,100
EV027,CH007-CH008,,,8/8/2018 8:56,8/8/2018 9:00,309.099,358.64,17.035,77,100
EV027,CH007-CH008,,,8/8/2018 7:56,8/8/2018 8:03,275.431,332.06,23.972,66,100
EV027,CH007-CH008,,,8/8/2018 6:57,8/8/2018 7:04,277.092,343.08,35.988,49,96.5
EV027,CH007-CH008,,,8/8/2018 6:09,8/8/2018 6:13,269.746,317.98,21.699,46,75.5
EV027,CH007-CH008,,,8/2/2018 19:06,8/2/2018 21:09,30.524,39.42,38.471,43,97
EV027,CH007-CH008,,,7/18/2018 16:00,7/18/2018 16:04,293.32,361.82,19.722,67,98
EV027,CH007-CH008,,,7/18/2018 15:00,7/18/2018 15:04,339.363,366.2,20.492,72.5,100
EV027,CH007-CH008,,,7/18/2018 13:57,7/18/2018 14:03,322.095,357.38,24.249,65.5,100
EV027,CH007-CH008,,,7/18/2018 12:57,7/18/2018 13:02,318.581,346.9,20.281,73,100
EV027,CH007-CH008,,,7/18/2018 12:01,7/18/2018 12:06,64.581,242.72,22.507,67.5,100
EV027,CH007-CH008,,,7/18/2018 10:59,7/18/2018 11:04,248.506,345.54,20.128,73,100
EV027,CH007-CH008,,,7/18/2018 9:57,7/18/2018 10:01,312.976,350.44,18.994,75,100
EV027,CH007-CH008,,,7/18/2018 8:58,7/18/2018 9:02,280.093,350.3,19.236,74.5,100
EV027,CH007-CH008,,,7/18/2018 7:58,7/18/2018 8:03,278.681,353.88,19.484,74,100
EV027,CH007-CH008,,,7/18/2018 7:00,7/18/2018 7:04,295.353,359.18,18.448,75.5,100
EV027,CH007-CH008,,,7/18/2018 6:10,7/18/2018 6:18,253.182,339.72,34.618,53.5,100
EV027,CH007-CH008,,,7/16/2018 16:01,7/16/2018 16:08,243.343,370.14,32.019,57,100
EV027,CH007-CH008,,,7/16/2018 15:01,7/16/2018 15:06,239.733,334.54,17.884,67,98
EV027,CH007-CH008,,,7/16/2018 14:00,7/16/2018 14:06,273.009,367.6,23.719,66,99
EV027,CH007-CH008,,,7/16/2018 13:03,7/16/2018 13:08,331.624,355.5,22.406,67,99
EV027,CH007-CH008,,,7/16/2018 12:07,7/16/2018 12:11,324.868,366.4,21.021,66.5,96
