Vehicle ID,Charger ID,Date,Number of Charging Sessions,Connection Time,Charging Time,Average Power,Max Power,Total Energy Delivered,Starting SOC,Ending SOC,SOC Charged
EV096,CH018-CH024,03/16/19,,,0.2057025,1.51417084,,0.311468727,,,
EV096,CH018-CH024,03/18/19,,,7.615,37.0678411,,282.27161,,,80
EV096,CH018-CH024,03/19/19,,,8.30897,33.89443233,,281.6278214,,,79.5
EV096,CH018-CH024,03/20/19,,,8.202977222,36.71203399,,301.1479786,,,87
EV096,CH018-CH024,03/21/19,,,5.244325278,35.50395907,,186.19431,,,54
EV096,CH018-CH024,03/22/19,,,7.289643611,38.17176461,,278.25856,,,79.5
EV096,CH018-CH024,03/25/19,,,7.075988056,35.29524189,,249.74871,,,69.5
EV096,CH018-CH024,03/26/19,,,8.853169722,35.82465654,,317.1617646,,,90.5
EV096,CH018-CH024,03/27/19,,,6.553559722,37.55516328,,246.1200054,,,71
EV096,CH018-CH024,03/28/19,,,6.449785556,36.29782075,,234.11316,,,66.5
EV096,CH018-CH024,03/29/19,,,8.626275278,32.96872414,,284.39729,,,81.5
EV096,CH018-CH024,04/01/19,,,7.393784722,40.62867006,,300.39964,,,87
EV096,CH018-CH024,04/02/19,,,7.3565125,33.04294664,,243.08085,,,68.5
EV096,CH018-CH024,04/04/19,,,7.666012222,33.05414636,,253.39349,,,72
EV096,CH018-CH024,04/05/19,,,8.011258056,32.28290715,,258.6267,,,72.5
EV096,CH018-CH024,04/08/19,,,8.730282778,31.34016239,,273.60848,,,75
EV096,CH018-CH024,04/09/19,,,8.412102778,32.30150976,,271.72362,,,77.5
EV096,CH018-CH024,04/10/19,,,7.842269722,41.28103634,,323.7370214,,,96
EV096,CH018-CH024,04/11/19,,,10.10398333,33.66581356,,340.1588192,,,98.5
EV096,CH018-CH024,04/12/19,,,10.12611944,37.73781473,,382.1376195,,,114
EV096,CH018-CH024,04/13/19,,,1.700225278,24.48312617,,41.62683,,,10
EV096,CH018-CH024,04/15/19,,,8.603581111,35.51236468,,305.53351,,,88.5
EV096,CH018-CH024,04/16/19,,,4.402537778,31.35876328,,138.05814,,,38.5
EV096,CH018-CH024,04/17/19,,,7.572944167,30.58979769,,231.65483,,,64
EV096,CH018-CH024,04/23/19,,,0.056684167,42.75956308,,2.4237902,,,0.5
EV096,CH018-CH024,04/24/19,,,4.195647778,9.640313473,,40.4473598,,,11
EV096,CH018-CH024,05/02/19,,,1.793057778,41.83623134,,75.01478,,,21.5
EV096,CH018-CH024,05/03/19,,,2.966794167,25.4857721,,75.61104,,,20.5
EV096,CH018-CH024,05/07/19,,,2.008435833,5.86068014,,11.7708,,,2.5
EV096,CH018-CH024,05/08/19,,,7.896303056,38.83533039,,306.655538,,,87.5
EV096,CH018-CH024,05/09/19,,,0.717694444,13.24127848,,9.503192,,,2.5
EV096,CH018-CH024,05/10/19,,,6.060506667,35.1647992,,213.1165,,,60
EV096,CH018-CH024,05/11/19,,,4.596708611,22.69729905,,104.33287,,,28
EV096,CH018-CH024,05/13/19,,,1.886709444,41.8653274,,78.9877086,,,24
EV096,CH018-CH024,05/14/19,,,7.615807778,22.77191284,,173.4265109,,,47
EV096,CH018-CH024,05/15/19,,,12.40212417,29.24518297,,362.7023905,,,99.5
EV096,CH018-CH024,05/16/19,,,8.763281389,24.43085193,,214.09443,,,58
EV096,CH018-CH024,05/17/19,,,8.975331944,25.95818533,,232.98333,,,64.5
EV096,CH018-CH024,05/18/19,,,4.966504722,38.57331075,,191.57453,,,58
EV096,CH018-CH024,05/20/19,,,4.791399444,24.44621188,,117.131566,,,32.5
EV096,CH018-CH024,05/21/19,,,12.11165306,28.73720808,,348.055094,,,97
EV096,CH018-CH024,05/22/19,,,6.395976111,36.56177508,,233.84824,,,65.5
EV096,CH018-CH024,05/23/19,,,5.2922675,30.77406643,,162.8645916,,,47
EV096,CH018-CH024,05/24/19,,,11.92801167,33.28659793,,397.0429284,,,112.5
EV096,CH018-CH024,05/25/19,,,6.891974167,31.05486221,,214.0293081,,,61
EV096,CH018-CH024,05/26/19,,,0.946841111,26.20689111,,24.8137619,,,7
EV096,CH018-CH024,05/28/19,,,6.4773575,15.38602434,,99.66078019,,,30.5
EV096,CH018-CH024,05/29/19,,,9.324872222,23.33426992,,217.5890854,,,58
EV096,CH018-CH024,05/30/19,,,12.36645694,28.99428963,,358.5566344,,,101
EV096,CH018-CH024,05/31/19,,,5.100201944,28.5180034,,145.4475764,,,41.72222222
EV096,CH018-CH024,06/01/19,,,12.85464722,27.63045438,,355.1797436,,,100.2777778
EV096,CH018-CH024,06/02/19,,,5.483728889,23.11174958,,126.7385688,,,34.5
EV096,CH018-CH024,06/03/19,,,8.663200278,27.90586659,,241.7541112,,,69
EV096,CH018-CH024,06/04/19,,,8.868275278,26.83119479,,237.9464214,,,66
EV096,CH018-CH024,06/05/19,,,3.777485833,0.279375918,,1.055338571,,,
EV096,CH018-CH024,06/06/19,,,8.004996111,17.0326916,,136.34663,,,37.5
EV096,CH018-CH024,06/17/19,,,8.912750556,24.63704651,,219.58385,,,61
EV096,CH018-CH024,06/18/19,,,6.759009722,29.55992789,,199.79584,,,56.5
EV096,CH018-CH024,06/19/19,,,5.770564167,35.92021404,,207.2799,,,58.5
EV096,CH018-CH024,06/20/19,,,8.335533056,27.50797196,,229.2936096,,,63.5
EV096,CH018-CH024,06/21/19,,,9.604450428,18.31662954,,175.9211604,,,48.5
