Vehicle ID,Charger ID,Local Connect Time,Local Disconnect Time,Local Charge Start Time,Local Charge End Time,Average Power,Max Power,Total Energy Delivered,Starting SOC,Ending SOC,SOC Charged
EV055,CH009-CH012,,,04/20/2022 08:30:55,04/20/2022 10:32:31,14.0076666090943,14.8380002975464,28.3899993896484,63.2,84.8,21.6
EV055,CH009-CH012,,,04/20/2022 13:45:36,04/20/2022 14:42:45,14.013733625601,14.6540002822876,13.3500003814697,40.8,52,11.2
EV055,CH009-CH012,,,04/20/2022 15:43:07,04/21/2022 05:49:03,4.5102516304817,14.8000001907349,63.5900001525879,46,100,54
EV055,CH009-CH012,,,04/21/2022 08:32:07,04/21/2022 10:32:42,12.5274204675805,14.6590003967285,25.1800003051758,76.8,96,19.2
EV055,CH009-CH012,,,04/21/2022 12:29:08,04/21/2022 13:40:46,14.0120182938998,14.6560001373291,16.7299995422363,82,94,12
EV055,CH009-CH012,,,04/21/2022 16:03:53,04/22/2022 06:00:52,2.54699505739316,14.7950000762939,35.5299987792969,72,100,28
EV055,CH009-CH012,,,04/22/2022 08:31:08,04/22/2022 10:01:58,14.0297389175443,14.8299999237061,21.2399997711182,64.8,80.8,16
EV055,CH009-CH012,,,04/22/2022 10:56:08,04/22/2022 13:38:43,11.055584789908,14.5590000152588,29.9599990844727,74,100,26
EV055,CH009-CH012,,,04/25/2022 08:29:25,04/25/2022 10:45:02,13.8914438005609,14.5509996414185,31.3999996185303,66,90,24
EV055,CH009-CH012,,,04/25/2022 12:32:06,04/25/2022 13:54:35,13.790399634813,14.3439998626709,18.9599990844727,72,87.2,15.2
EV055,CH009-CH012,,,04/25/2022 16:22:24,04/26/2022 05:02:04,5.05010958877035,14.6280002593994,63.939998626709,47.2,100,52.8
EV055,CH009-CH012,,,04/26/2022 05:07:16,04/26/2022 05:54:06,,14.3079996109009,,47.2,100,52.8
EV055,CH009-CH012,,,04/26/2022 08:28:52,04/26/2022 10:42:51,11.7728092318467,14.5159997940063,26.2900009155273,76.8,96.8,20
EV055,CH009-CH012,,,04/26/2022 12:31:44,04/26/2022 13:48:02,13.8538144443511,14.2799997329712,17.6200008392334,75.2,88.8,13.6
EV055,CH009-CH012,,,04/26/2022 16:00:45,04/27/2022 05:20:22,3.77349766977436,14.5240001678467,50.2900009155273,60,100,40
EV055,CH009-CH012,,,04/27/2022 08:27:28,04/27/2022 08:27:53,0,0,0,76,76,0
EV055,CH009-CH012,,,04/27/2022 08:28:32,04/27/2022 10:42:59,11.9363143711672,14.6219997406006,26.75,78,96.8,18.8
EV055,CH009-CH012,,,04/27/2022 13:50:00,04/27/2022 14:47:42,14.1072630518083,14.7629995346069,13.5699996948242,59.2,70,10.8
EV055,CH009-CH012,,,04/27/2022 15:41:00,04/28/2022 05:49:55,3.5607409635645,14.9680004119873,50.3800010681152,60.8,100,39.2
EV055,CH009-CH012,,,04/28/2022 08:27:37,04/28/2022 10:40:49,11.6574676559848,14.8330001831055,25.8799991607666,76.8,100,23.2
EV055,CH009-CH012,,,04/28/2022 12:30:39,04/28/2022 13:44:57,14.0336074900541,14.5880002975464,17.3799991607666,82,95.2,13.2
EV055,CH009-CH012,,,04/28/2022 16:07:56,04/29/2022 06:07:51,2.84453385549487,14.8050003051758,39.8199996948242,67.2,100,32.8
EV055,CH009-CH012,,,04/29/2022 08:29:25,04/29/2022 09:23:21,14.1161197942258,14.8330001831055,12.6899995803833,76.8,86,9.2
EV055,CH009-CH012,,,04/29/2022 11:13:21,04/29/2022 13:49:52,14.0297773417886,14.7629995346069,36.5999984741211,64.8,94,29.2
