Vehicle ID,Charger ID,Local Connect Time,Local Disconnect Time,Local Charge Start Time,Local Charge E/Time,Average Power,Max Power,Total Energy Delivered,Starting SOC,Ending SOC
EV030,CH007-CH008,,,8/4/2018 15:04,8/4/2018 15:13,154.258,269.5,31.987,56,100
EV030,CH007-CH008,,,8/4/2018 14:08,8/4/2018 14:17,233.776,340.98,35.647,51.5,100
EV030,CH007-CH008,,,8/4/2018 13:10,8/4/2018 13:18,258.507,318.34,31.347,52,93.5
EV030,CH007-CH008,,,8/4/2018 12:04,8/4/2018 12:14,274.647,366.24,40.27,44.5,99.5
EV030,CH007-CH008,,,8/4/2018 11:12,8/4/2018 11:15,259.632,319.12,13.578,57,77.5
EV030,CH007-CH008,,,8/4/2018 10:03,8/4/2018 10:09,292.902,349.82,23.513,65,98.5
EV030,CH007-CH008,,,8/4/2018 8:59,8/4/2018 9:07,-3.298,53.56,36.479,50.5,99
EV030,CH007-CH008,,,8/2/2018 19:21,8/2/2018 19:27,301.205,360.86,28.248,55,92
EV030,CH007-CH008,,,8/2/2018 18:14,8/2/2018 18:24,304.605,348.84,35.811,51,100
EV030,CH007-CH008,,,8/2/2018 17:11,8/2/2018 17:20,327.938,360.5,36.557,49.5,99.5
EV030,CH007-CH008,,,8/2/2018 16:09,8/2/2018 16:19,258.714,338.6,41.795,42,99
EV030,CH007-CH008,,,8/2/2018 15:14,8/2/2018 15:18,286.881,350.48,21.378,53,82
EV030,CH007-CH008,,,8/2/2018 14:07,8/2/2018 14:16,299.496,346.48,36.295,50.5,100
EV030,CH007-CH008,,,8/2/2018 13:05,8/2/2018 13:16,288.816,341.92,42.67,41.5,99
EV030,CH007-CH008,,,8/2/2018 12:11,8/2/2018 12:16,319.071,340.96,26.754,46,82.5
EV030,CH007-CH008,,,8/2/2018 11:19,8/2/2018 11:21,242.757,342.92,10.28,58,74.5
EV030,CH007-CH008,,,8/2/2018 10:18,8/2/2018 10:26,284.378,338.62,27.975,60.5,100
EV030,CH007-CH008,,,8/2/2018 9:12,8/2/2018 9:18,267.923,333.08,24.37,65,100
EV030,CH007-CH008,,,8/2/2018 8:12,8/2/2018 8:17,291.418,359.72,20.8,72.5,100
EV030,CH007-CH008,,,8/2/2018 7:18,8/2/2018 7:24,230.069,309.3,20.765,72.5,100
EV030,CH007-CH008,,,8/2/2018 6:19,8/2/2018 6:29,282.039,351.8,40.836,45.5,100
EV030,CH007-CH008,,,7/31/2018 19:19,7/31/2018 19:24,316.063,376.12,26.725,57,93.5
EV030,CH007-CH008,,,7/31/2018 18:22,7/31/2018 18:32,328.963,360.7,33.668,54.5,100
EV030,CH007-CH008,,,7/31/2018 17:10,7/31/2018 17:20,209.142,347.3,34.208,54,99.5
EV030,CH007-CH008,,,7/31/2018 16:10,7/31/2018 16:18,327.582,363.76,35.381,51,98.5
EV030,CH007-CH008,,,7/31/2018 15:17,7/31/2018 15:23,271.609,344.8,29.939,53,92.5
EV030,CH007-CH008,,,7/31/2018 14:03,7/31/2018 14:14,206.505,256.92,33.205,55,100
EV030,CH007-CH008,,,7/31/2018 13:03,7/31/2018 13:14,228.566,346.68,35.203,52.5,100
EV030,CH007-CH008,,,7/31/2018 12:08,7/31/2018 12:14,289.431,353.16,27.193,56,92.5
EV030,CH007-CH008,,,7/31/2018 11:12,7/31/2018 11:18,338.591,366.2,32.858,50,93.5
EV030,CH007-CH008,,,7/31/2018 10:10,7/31/2018 10:14,240.3,305.08,14.008,62.5,83.5
EV030,CH007-CH008,,,7/31/2018 9:11,7/31/2018 9:17,210.97,254.88,20.971,72,100
EV030,CH007-CH008,,,7/31/2018 8:14,7/31/2018 8:21,175.829,283.46,24.621,65,100
EV030,CH007-CH008,,,7/31/2018 7:23,7/31/2018 7:33,2.841,86.12,38.871,48.5,100
EV030,CH007-CH008,,,7/30/2018 20:44,7/30/2018 21:58,28.387,41.12,35.081,50,100
EV030,CH007-CH008,,,7/28/2018 18:58,7/28/2018 19:05,256.016,301.46,24.913,63.5,100
EV030,CH007-CH008,,,7/28/2018 18:07,7/28/2018 18:15,255.318,274.2,25.7,62,99.5
EV030,CH007-CH008,,,7/28/2018 17:06,7/28/2018 17:15,252.234,270.56,28.904,58,99.5
EV030,CH007-CH008,,,7/28/2018 16:02,7/28/2018 16:11,265.929,350.24,35.066,52.5,100
EV030,CH007-CH008,,,7/28/2018 15:07,7/28/2018 15:12,286.298,357.58,23.461,56,88.5
EV030,CH007-CH008,,,7/28/2018 14:00,7/28/2018 14:08,342.627,369.66,28.323,59.5,100
EV030,CH007-CH008,,,7/28/2018 12:56,7/28/2018 13:05,249.367,293.58,26.827,61.5,100
EV030,CH007-CH008,,,7/28/2018 12:00,7/28/2018 12:07,317.755,356.1,28.901,57.5,97.5
EV030,CH007-CH008,,,7/28/2018 11:01,7/28/2018 11:09,240.716,300.84,27.417,61,100
EV030,CH007-CH008,,,7/28/2018 10:00,7/28/2018 10:08,234.192,377.54,27.666,61,100
EV030,CH007-CH008,,,7/28/2018 8:55,7/28/2018 9:04,151.183,248.98,35.536,52.5,100
EV030,CH007-CH008,,,7/26/2018 17:50,7/26/2018 17:59,273.687,346.34,31.449,56.5,100
