fecha_hora;lat;lon;altitud;SOC;odometro;vel;AC;calefaccion;cargando;km_restantes;carga_bat_aux
2022-11-29 00:21:34;-36,7593;-73,0051;51,1;100;3617,9;0;0;0;0;200;
2022-11-29 00:51:35;-36,7593;-73,0051;52,3;100;3617,9;0;0;0;0;200;
2022-11-29 01:21:35;-36,7593;-73,0051;53,6;100;3617,8;0;0;0;0;200;
2022-11-29 01:51:34;-36,7593;-73,0051;54,9;100;3617,8;0;0;0;0;200;
2022-11-29 02:21:34;-36,7593;-73,0051;56,2;100;3617,8;0;0;0;0;200;
2022-11-29 02:51:34;-36,7593;-73,0051;57,4;100;3617,8;0;0;0;0;200;
2022-11-29 03:21:34;-36,7593;-73,0051;58,7;100;3617,8;0;0;0;0;200;
2022-11-29 03:51:34;-36,7593;-73,0051;60;100;3617,8;0;0;0;0;200;
2022-11-29 04:21:34;-36,7593;-73,0051;61,2;100;3617,8;0;0;0;0;200;
2022-11-29 04:51:35;-36,7593;-73,0051;62,5;100;3617,8;0;0;0;0;200;
2022-11-29 05:21:34;-36,7593;-73,0051;63,8;100;3617,8;0;0;0;0;200;
2022-11-29 05:51:34;-36,7593;-73,0051;65;100;3617,8;0;0;0;0;200;
2022-11-29 06:21:35;-36,7593;-73,0051;66,3;100;3617,8;0;0;0;0;200;
2022-11-29 06:51:34;-36,7593;-73,0051;67,6;100;3617,8;0;0;0;0;200;
2022-11-29 07:21:35;-36,7593;-73,0051;68,8;100;3617,8;0;0;0;0;200;
2022-11-29 07:48:20;-36,7593;-73,0051;70;100;3617,8;0;0;0;0;200;
2022-11-29 07:48:39;-36,75917;-73,00549;70;99,91;3617,9;3;0;0;0;199,82;
2022-11-29 07:49:06;-36,75891;-73,00521;65,8;99,73;3618,1;2;0;0;0;199,46;
2022-11-29 07:49:15;-36,75889;-73,00498;56,5;99,67;3618,1;4;0;0;0;199,34;
2022-11-29 07:49:23;-36,75904;-73,00485;48,1;99,62;3618,2;0;0;0;0;199,24;
2022-11-29 07:49:26;-36,75904;-73,00485;45;99,6;3618,2;1;0;0;0;199,2;
2022-11-29 07:49:44;-36,75912;-73,00462;32,3;99,48;3618,3;7;0;0;0;198,96;
2022-11-29 07:50:00;-36,75896;-73,00449;34,1;99,37;3618,4;0;0;0;0;198,74;
2022-11-29 07:50:05;-36,75896;-73,00449;34,3;99,34;3618,4;1;0;0;0;198,68;
2022-11-29 07:50:08;-36,75891;-73,00447;34,4;99,32;3618,4;8;0;0;0;198,64;
2022-11-29 07:50:18;-36,75866;-73,00483;34,9;99,25;3618,5;17;0;0;0;198,5;
2022-11-29 07:50:23;-36,75845;-73,0048;35,1;99,22;3618,5;24;0;0;0;198,44;
2022-11-29 07:50:31;-36,75784;-73,00411;35,5;99,17;3618,5;52;0;0;0;198,34;
2022-11-29 07:50:45;-36,75653;-73,0024;36,5;99,07;3618,6;57;0;0;0;198,14;
2022-11-29 07:50:51;-36,75587;-73,00168;38,2;99,03;3618,7;59;0;0;0;198,06;
2022-11-29 07:51:01;-36,75451;-73,00109;41;98,96;3618,7;55;0;0;0;197,92;
2022-11-29 07:51:08;-36,75377;-73,00068;42,9;98,89;3618,7;35;0;0;0;197,78;
2022-11-29 07:51:12;-36,75366;-73,00032;44;98,86;3618,8;31;0;0;0;197,72;
2022-11-29 07:51:16;-36,75392;-72,99998;44,3;98,82;3618,8;41;0;0;0;197,64;
2022-11-29 07:51:18;-36,75412;-72,99986;44,5;98,8;3618,8;44;0;0;0;197,6;
2022-11-29 07:51:22;-36,75448;-72,9997;44,9;98,77;3618,8;33;0;0;0;197,54;
2022-11-29 07:51:25;-36,75466;-72,99981;45,1;98,74;3618,8;26;0;0;0;197,48;
2022-11-29 07:51:29;-36,75474;-73,00002;45,5;98,7;3618,9;18;0;0;0;197,4;
2022-11-29 07:51:36;-36,75456;-73,00078;46,1;98,64;3618,9;50;0;0;0;197,28;
2022-11-29 07:51:44;-36,7542;-73,00185;46,7;98,57;3619;39;0;0;0;197,14;
2022-11-29 07:51:47;-36,75397;-73,00201;47;98,54;3619,1;37;0;0;0;197,08;
2022-11-29 07:51:51;-36,75359;-73,00188;45,2;98,51;3619,2;41;0;0;0;197,02;
2022-11-29 07:51:53;-36,75351;-73,00168;44,2;98,49;3619,2;41;0;0;0;196,98;
2022-11-29 07:51:56;-36,75354;-73,00132;42,8;98,46;3619,2;41;0;0;0;196,92;
2022-11-29 07:52:00;-36,75389;-73,00109;41;98,42;3619,3;41;0;0;0;196,84;
2022-11-29 07:52:05;-36,75448;-73,00124;42;98,38;3619,4;57;0;0;0;196,76;
2022-11-29 07:52:15;-36,75581;-73,00185;42,6;98,29;3619,5;59;0;0;0;196,58;
2022-11-29 07:52:22;-36,75653;-73,00272;42;98,23;3619,6;57;0;0;0;196,46;
2022-11-29 07:52:27;-36,7571;-73,00344;41,6;98,18;3619,7;74;0;0;0;196,36;
2022-11-29 07:52:35;-36,75819;-73,00485;41;98,11;3619,8;83;0;0;0;196,22;
2022-11-29 07:52:42;-36,75948;-73,0059;34,8;98,05;3620;90;0;0;0;196,1;
2022-11-29 07:53:07;-36,76426;-73,00987;19,2;97,9;3620,6;92;0;0;0;195,8;
2022-11-29 07:53:23;-36,76718;-73,01222;18,2;97,83;3621;81;0;0;0;195,66;
2022-11-29 07:53:35;-36,76941;-73,01348;13,7;97,77;3621,2;83;0;0;0;195,54;
2022-11-29 07:53:59;-36,77343;-73,01558;7,5;97,65;3621,7;63;0;0;0;195,3;
2022-11-29 07:54:09;-36,77473;-73,01643;6,7;97,6;3621,9;57;0;0;0;195,2;
2022-11-29 07:54:15;-36,7754;-73,01688;7,8;97,57;3621,9;42;0;0;0;195,14;
2022-11-29 07:54:21;-36,77573;-73,01724;8,8;97,54;3622;18;0;0;0;195,08;
2022-11-29 07:54:30;-36,77594;-73,0174;9,1;97,5;3622;0;0;0;0;195;
2022-11-29 07:55:30;-36,77594;-73,0174;9,7;97,5;3622;0;0;0;0;195;
2022-11-29 08:00:28;-36,77594;-73,0174;13;97,5;3622;0;0;0;0;195;
2022-11-29 08:00:29;-36,77596;-73,0174;13;97,5;3622;0;0;0;0;195;
2022-11-29 08:00:34;-36,77596;-73,0174;12,6;97,5;3622;1;0;0;0;195;
2022-11-29 08:00:38;-36,77599;-73,0174;12,3;97,49;3622;0;0;0;0;194,98;
2022-11-29 08:00:39;-36,77599;-73,0174;12,3;97,48;3622;2;0;0;0;194,96;
