fecha_hora;lat;lon;altitud;SOC;odometro;vel;AC;calefaccion;cargando;km_restantes;carga_bat_aux
2022-11-21 00:21:01;-36,75932;-73,00508;76,6;100;2828,2;0;0;0;0;200;
2022-11-21 00:51:03;-36,75932;-73,00508;77,3;100;2828,2;0;0;0;0;200;
2022-11-21 01:21:03;-36,75932;-73,00508;77,9;100;2828,2;0;0;0;0;200;
2022-11-21 01:51:02;-36,75932;-73,00508;78,5;100;2828,2;0;0;0;0;200;
2022-11-21 02:22:33;-36,75932;-73,00508;79,2;100;2828,2;0;0;0;0;200;
2022-11-21 02:52:46;-36,75932;-73,00508;79,8;100;2828,2;0;0;0;0;200;
2022-11-21 03:25:36;-36,75932;-73,00508;80,5;100;2828,2;0;0;0;0;200;
2022-11-21 03:55:01;-36,75932;-73,00508;81,1;100;2828,2;0;0;0;0;200;
2022-11-21 04:25:52;-36,75932;-73,00508;81,7;100;2828,2;0;0;0;0;200;
2022-11-21 04:55:22;-36,75932;-73,00508;82,4;100;2828,2;0;0;0;0;200;
2022-11-21 05:24:51;-36,75932;-73,00508;83;100;2828,2;0;0;0;0;200;
2022-11-21 05:55:01;-36,75932;-73,00508;83,6;100;2828,2;0;0;0;0;200;
2022-11-21 06:25:11;-36,75932;-73,00508;84,2;100;2828,2;0;0;0;0;200;
2022-11-21 06:55:01;-36,75932;-73,00508;84,9;100;2828,2;0;0;0;0;200;
2022-11-21 07:25:02;-36,75932;-73,00508;85,5;100;2828,2;0;0;0;0;200;
2022-11-21 07:49:12;-36,75932;-73,00508;86;100;2828,2;0;0;0;0;200;
2022-11-21 07:49:13;-36,75891;-73,00546;86;100;2828,2;0;0;0;0;200;
2022-11-21 07:49:15;-36,75891;-73,00546;86;100;2828,2;1;0;0;0;200;
2022-11-21 07:49:16;-36,75891;-73,00544;86;100;2828,2;0;0;0;0;200;
2022-11-21 07:50:52;-36,75919;-73,00523;69,4;99,52;2828,2;0;0;0;0;199,04;
2022-11-21 07:50:55;-36,75919;-73,00523;68,7;99,5;2828,2;0;0;0;0;199;
2022-11-21 07:51:21;-36,75919;-73,00523;63,2;99,5;2828,2;0;0;0;0;199;
2022-11-21 07:51:22;-36,75922;-73,00523;63;99,5;2828,2;0;0;0;0;199;
2022-11-21 07:51:24;-36,75922;-73,00523;63,9;99,5;2828,2;0;0;0;0;199;
2022-11-21 07:51:31;-36,75922;-73,00523;66,8;99,5;2828,2;0;0;0;0;199;
2022-11-21 07:51:32;-36,75922;-73,00521;67,2;99,5;2828,2;0;0;0;0;199;
2022-11-21 07:51:39;-36,75917;-73,00523;69;99,5;2828,2;0;0;0;0;199;
2022-11-21 07:51:40;-36,75917;-73,00523;69,2;99,5;2828,2;0;0;0;0;199;
2022-11-21 07:51:53;-36,75917;-73,00523;71,8;99,5;2828,2;0;0;0;0;199;
2022-11-21 07:51:54;-36,75917;-73,00521;72;99,5;2828,2;0;0;0;0;199;
2022-11-21 07:52:07;-36,75919;-73,00523;73,5;99,5;2828,2;0;0;0;0;199;
2022-11-21 07:52:14;-36,75919;-73,00523;72,4;99,5;2828,2;0;0;0;0;199;
2022-11-21 07:52:16;-36,75919;-73,00523;72,1;99,5;2828,2;0;0;0;0;199;
2022-11-21 07:52:29;-36,75922;-73,00521;70,5;99,5;2828,2;0;0;0;0;199;
2022-11-21 07:52:37;-36,75922;-73,00521;69,9;99,5;2828,2;0;0;0;0;199;
2022-11-21 07:52:38;-36,75922;-73,00523;69,8;99,5;2828,2;0;0;0;0;199;
2022-11-21 07:52:44;-36,75922;-73,00523;69,3;99,5;2828,2;0;0;0;0;199;
2022-11-21 07:54:02;-36,75922;-73,00523;63,1;99,5;2828,2;0;0;0;0;199;
2022-11-21 07:54:03;-36,75922;-73,00523;63;99,5;2828,2;0;0;0;0;199;
2022-11-21 07:54:14;-36,75922;-73,00523;60,8;99,5;2828,2;0;0;0;0;199;
2022-11-21 07:54:57;-36,75922;-73,00523;52,2;99,5;2828,2;0;0;0;0;199;
2022-11-21 07:54:58;-36,75924;-73,00521;52;99,5;2828,2;0;0;0;0;199;
