fecha_hora;lat;lon;altitud;SOC;odometro;vel;AC;calefaccion;cargando;km_restantes;carga_bat_aux
2022-11-26 00:10:32;-36,75935;-73,00526;42,9;100;3358,1;0;0;0;0;200;
2022-11-26 00:40:31;-36,75935;-73,00526;42,4;100;3358,1;0;0;0;0;200;
2022-11-26 01:10:31;-36,75935;-73,00526;42;100;3358;0;0;0;0;200;
2022-11-26 01:40:31;-36,75935;-73,00526;41,6;100;3358;0;0;0;0;200;
2022-11-26 02:10:30;-36,75935;-73,00526;41,1;100;3358;0;0;0;0;200;
2022-11-26 02:40:30;-36,75935;-73,00526;40,7;100;3358;0;0;0;0;200;
2022-11-26 03:10:30;-36,75935;-73,00526;40,3;100;3358;0;0;0;0;200;
2022-11-26 03:40:30;-36,75935;-73,00526;39,9;100;3358;0;0;0;0;200;
2022-11-26 04:10:30;-36,75935;-73,00526;39,4;100;3358;0;0;0;0;200;
2022-11-26 04:40:30;-36,75935;-73,00526;39;100;3358;0;0;0;0;200;
2022-11-26 05:10:30;-36,75935;-73,00526;38,6;100;3358;0;0;0;0;200;
2022-11-26 05:40:30;-36,75935;-73,00526;38,1;100;3358;0;0;0;0;200;
2022-11-26 06:10:30;-36,75935;-73,00526;37,7;100;3358;0;0;0;0;200;
2022-11-26 06:40:30;-36,75935;-73,00526;37,3;100;3358;0;0;0;0;200;
2022-11-26 07:10:30;-36,75935;-73,00526;36,8;100;3358;0;0;0;0;200;
2022-11-26 07:40:30;-36,75935;-73,00526;36,4;100;3358;0;0;0;0;200;
2022-11-26 08:06:31;-36,75935;-73,00526;36;100;3358;0;0;0;0;200;
2022-11-26 08:07:10;-36,75879;-73,00491;36;99,64;3358,4;5;0;0;0;199,28;
2022-11-26 08:07:14;-36,75889;-73,00483;36;99,6;3358,4;0;0;0;0;199,2;
2022-11-26 08:07:16;-36,75891;-73,0048;36;99,57;3358,5;2;0;0;0;199,14;
2022-11-26 08:07:20;-36,75896;-73,0047;36;99,53;3358,5;12;0;0;0;199,06;
2022-11-26 08:07:27;-36,75904;-73,00455;36;99,46;3358,6;0;0;0;0;198,92;
2022-11-26 08:07:34;-36,75906;-73,00452;36;99,38;3358,6;1;0;0;0;198,76;
2022-11-26 08:07:39;-36,75904;-73,00444;36;99,33;3358,7;6;0;0;0;198,66;
2022-11-26 08:07:46;-36,75889;-73,00436;36;99,26;3358,8;10;0;0;0;198,52;
2022-11-26 08:07:50;-36,75876;-73,00455;36;99,21;3358,8;22;0;0;0;198,42;
2022-11-26 08:07:54;-36,75858;-73,00472;36;99,17;3358,8;22;0;0;0;198,34;
2022-11-26 08:07:59;-36,75825;-73,00457;36;99,12;3358,9;37;0;0;0;198,24;
2022-11-26 08:08:04;-36,75779;-73,00401;36;99,06;3358,9;59;0;0;0;198,12;
2022-11-26 08:08:17;-36,75615;-73,00188;36;98,91;3359,1;83;0;0;0;197,82;
2022-11-26 08:08:19;-36,75579;-73,00157;36;98,89;3359,1;83;0;0;0;197,78;
2022-11-26 08:08:25;-36,75466;-73,00106;36;98,81;3359,2;77;0;0;0;197,62;
2022-11-26 08:08:29;-36,75402;-73,00081;36;98,76;3359,2;57;0;0;0;197,52;
2022-11-26 08:08:33;-36,75366;-73,0005;36;98,71;3359,2;37;0;0;0;197,42;
2022-11-26 08:08:36;-36,75364;-73,00017;36;98,68;3359,3;35;0;0;0;197,36;
2022-11-26 08:08:38;-36,75377;-72,99998;36,5;98,65;3359,3;41;0;0;0;197,3;
2022-11-26 08:08:41;-36,75407;-72,99978;38,1;98,61;3359,3;50;0;0;0;197,22;
2022-11-26 08:08:44;-36,75438;-72,9996;39,8;98,58;3359,3;41;0;0;0;197,16;
2022-11-26 08:08:48;-36,75466;-72,9997;41,9;98,53;3359,4;31;0;0;0;197,06;
2022-11-26 08:08:51;-36,75469;-72,99983;42,8;98,49;3359,4;9;0;0;0;196,98;
2022-11-26 08:08:53;-36,75466;-72,99989;42,4;98,46;3359,4;15;0;0;0;196,92;
2022-11-26 08:08:56;-36,75461;-73,00024;41,8;98,43;3359,5;42;0;0;0;196,86;
2022-11-26 08:08:59;-36,75448;-73,0007;41,2;98,39;3359,5;59;0;0;0;196,78;
2022-11-26 08:09:02;-36,75433;-73,00121;40,6;98,35;3359,5;59;0;0;0;196,7;
2022-11-26 08:09:05;-36,75418;-73,00168;40;98,31;3359,6;44;0;0;0;196,62;
2022-11-26 08:09:09;-36,75382;-73,00188;39,2;98,26;3359,6;42;0;0;0;196,52;
2022-11-26 08:09:12;-36,75356;-73,00172;38,6;98,23;3359,6;44;0;0;0;196,46;
2022-11-26 08:09:15;-36,75349;-73,00134;38;98,19;3359,7;44;0;0;0;196,38;
2022-11-26 08:09:19;-36,75382;-73,00101;37,2;98,14;3359,7;41;0;0;0;196,28;
2022-11-26 08:09:31;-36,75561;-73,00157;39,8;97,98;3359,8;79;0;0;0;195,96;
2022-11-26 08:09:34;-36,7561;-73,00198;40,5;97,91;3359,9;85;0;0;0;195,82;
2022-11-26 08:09:44;-36,75766;-73,00406;37,8;97,7;3360;98;0;0;0;195,4;
2022-11-26 08:09:49;-36,75858;-73,00503;36,3;97,59;3360;100;0;0;0;195,18;
2022-11-26 08:10:16;-36,76421;-73,00969;29,9;97;3360,8;103;0;0;0;194;
2022-11-26 08:10:29;-36,76687;-73,01186;26,9;96,91;3361,1;96;0;0;0;193,82;
2022-11-26 08:10:34;-36,76795;-73,01258;26,6;96,88;3361,2;100;0;0;0;193,76;
2022-11-26 08:10:47;-36,771;-73,0142;25,6;96,79;3361,6;101;0;0;0;193,58;
2022-11-26 08:11:02;-36,77407;-73,01591;24,5;96,68;3362;77;0;0;0;193,36;
2022-11-26 08:11:08;-36,77494;-73,01653;24;96,64;3362;59;0;0;0;193,28;
2022-11-26 08:11:13;-36,77543;-73,01683;23,9;96,6;3362;33;0;0;0;193,2;
2022-11-26 08:11:20;-36,77565;-73,01717;23,7;96,56;3362,1;12;0;0;0;193,12;
2022-11-26 08:11:23;-36,77576;-73,01722;23,6;96,54;3362,1;16;0;0;0;193,08;
2022-11-26 08:11:28;-36,77583;-73,0173;23,5;96,5;3362,1;0;0;0;0;193;
2022-11-26 08:13:01;-36,77583;-73,0173;21;96,5;3362;0;0;0;0;193;
2022-11-26 08:13:02;-36,77591;-73,01734;21;96,5;3362;0;0;0;0;193;
2022-11-26 08:13:06;-36,77594;-73,01734;20,9;96,5;3362,1;1;0;0;0;193;
2022-11-26 08:13:20;-36,77614;-73,0174;20,5;96,27;3362,2;10;0;0;0;192,54;
2022-11-26 08:13:24;-36,77617;-73,0174;20,4;96,2;3362,3;2;0;0;0;192,4;
2022-11-26 08:13:29;-36,77637;-73,01749;20,3;96,12;3362,4;33;0;0;0;192,24;
2022-11-26 08:13:31;-36,77658;-73,01762;20,2;96,09;3362,4;46;0;0;0;192,18;
2022-11-26 08:13:39;-36,7776;-73,01826;20;95,95;3362,5;66;0;0;0;191,9;
