fecha_hora;lat;lon;altitud;SOC;odometro;vel;AC;calefaccion;cargando;km_restantes;carga_bat_aux;ah_generados;ah_consumidos;ah_efectivos;aislacion_negativa;aislacion_positiva;aislacion_pack_bateria;capacidad_actual;contador_peak;tiempo_peak_amperaje;corriente_instantanea;temp_maxima_celda;temp_minima_celda;vol_maximo_celda;vol_minimo_celda;pot_consumida_accesorios;pot_total_consumida;pot_total_generada;freno_servicio;pot_gen_freno_umbral_1;pot_gen_freno_umbral_2;pot_gen_freno_umbral_3;pot_gen_freno_umbral_4;pot_gen_freno_umbral_5;pot_gen_freno_umbral_6;switch_freno;SoH;ac_encendido;estado_compresor_ac;vel_crucero_activada;vel_crucero_seteada;marcha;porc_acelerador
2022-11-04 16:32:54;-36.78199;-73.086175;6;80.8;426.8;0.0;;;;;;0,0;0,0;0,0;59000;59000;0,000;59000;0;;0,0;18,0;17,0;3,33;3,326;0,0;;0,0;0;-1012,0;-1993,2;-3012,5;-5152,3;-6821,7;-5330,9;0;98,0;0;0;0;0;"N";0,0
2022-11-04 15:28:08;-36.781993;-73.086247;9;76.4;426.8;0.0;;;;;26700.0;0,0;0,0;0,0;57500;57500;0,000;57500;0;;-13,1;18,0;17,0;3,329;3,325;0,0;;0,0;0;-1012,0;-1993,2;-3012,5;-5152,3;-6821,7;-5330,9;0;98,0;0;0;0;0;"N";0,0
2022-11-04 15:25:08;-36.78199;-73.08635;9;76.4;426.8;0.0;;;;;27100.0;-0,4;9,8;9,4;55000;55000;0,000;55000;0;;2,9;18,0;17,0;3,314;3,31;4959,7;;-219,3;;-1023,5;-2016,8;-3026,7;-5191,9;-6851,7;-5368,2;1;98,0;0;1;0;0;"N";0,0
2022-11-04 15:24:30;-36.781933;-73.086517;10;76.4;426.8;0.0;;;;;27100.0;-0,4;9,7;9,3;58500;58500;0,000;58500;0;;2,6;18,0;17,0;3,315;3,311;4935,0;;-219,3;;-1023,5;-2016,8;-3026,7;-5191,9;-6851,7;-5368,2;1;98,0;0;1;0;0;"D";0,0
2022-11-04 15:23:43;-36.781933;-73.086517;10;76.4;426.8;0.0;;;;;27100.0;-0,4;9,7;9,3;56500;56500;0,000;56500;0;;1,6;18,0;17,0;3,315;3,311;4922,0;;-219,3;0;-1023,5;-2016,8;-3026,7;-5191,9;-6851,7;-5368,2;0;98,0;0;0;0;0;"N";0,0
2022-11-04 15:22:43;-36.781933;-73.086517;10;76.4;426.8;0.0;;;;;27100.0;-0,4;9,7;9,2;55500;55500;0,000;55500;0;;1,6;18,0;17,0;3,314;3,31;4905,0;;-219,3;0;-1023,5;-2016,8;-3026,7;-5191,9;-6851,7;-5368,2;0;98,0;0;0;0;0;"N";0,0
2022-11-04 15:21:43;-36.781933;-73.086517;10;76.4;426.8;0.0;;;;;27100.0;-0,4;9,6;9,2;56000;56000;0,000;56000;0;;1,5;18,0;17,0;3,314;3,31;4888,0;;-219,3;0;-1023,5;-2016,8;-3026,7;-5191,9;-6851,7;-5368,2;0;98,0;0;0;0;0;"N";0,0
2022-11-04 15:20:43;-36.781933;-73.086517;10;76.4;426.8;0.0;;;;;27100.0;-0,4;9,6;9,2;55000;55000;0,000;55000;0;;1,9;18,0;17,0;3,313;3,308;4871,0;;-219,3;0;-1023,5;-2016,8;-3026,7;-5191,9;-6851,7;-5368,2;0;98,0;0;1;0;0;"N";0,0
2022-11-04 15:19:43;-36.781933;-73.086517;10;76.4;426.8;0.0;;;;;27100.0;-0,4;9,6;9,2;55500;55500;0,000;55500;0;;2,3;18,0;17,0;3,312;3,307;4854,3;;-219,3;0;-1023,5;-2016,8;-3026,7;-5191,9;-6851,7;-5368,2;0;98,0;0;1;0;0;"N";0,0
2022-11-04 15:18:43;-36.781933;-73.086517;10;76.4;426.8;0.0;;;;;27100.0;-0,4;9,5;9,1;54500;54500;0,000;54500;0;;2,3;18,0;17,0;3,311;3,306;4837,9;;-219,3;0;-1023,5;-2016,8;-3026,7;-5191,9;-6851,7;-5368,2;0;98,0;0;1;0;0;"N";0,0
