fecha_hora;lat;lon;altitud;SOC;odometro;vel;AC;calefaccion;cargando;km_restantes;carga_bat_aux;ah_generados;ah_consumidos;ah_efectivos;aislacion_negativa;aislacion_positiva;aislacion_pack_bateria;capacidad_actual;contador_peak;tiempo_peak_amperaje;corriente_instantanea;temp_maxima_celda;temp_minima_celda;vol_maximo_celda;vol_minimo_celda;pot_consumida_accesorios;pot_total_consumida;pot_total_generada;freno_servicio;pot_gen_freno_umbral_1;pot_gen_freno_umbral_2;pot_gen_freno_umbral_3;pot_gen_freno_umbral_4;pot_gen_freno_umbral_5;pot_gen_freno_umbral_6;switch_freno;SoH;ac_encendido;estado_compresor_ac;vel_crucero_activada;vel_crucero_seteada;marcha;porc_acelerador
2022-11-07 18:54:29;-36.782005;-73.086215;13;63.6;605.4;0.0;;;;;26700.0;0,0;0,0;0,0;54500;58500;0,000;54500;0;;1,4;25,0;24,0;3,346;3,341;22,2;;0,0;;-1831,7;-3294,1;-5758,0;-9066,6;-13058,6;-16313,7;1;98,0;9;0;0;0;"N";0,0
2022-11-07 18:54:11;-36.782005;-73.086215;13;63.6;605.3;0.0;;;;;26700.0;0,0;0,0;0,0;57000;59500;0,000;57000;0;;1,2;25,0;24,0;3,346;3,342;17,5;;0,0;;-1831,7;-3294,1;-5758,0;-9066,6;-13058,6;-16313,7;1;98,0;9;0;0;0;"D";0,0
2022-11-07 18:54:10;-36.782005;-73.086215;13;63.6;605.3;0.0;;;;;26700.0;0,0;0,0;0,0;57000;59500;0,000;57000;0;;1,4;25,0;24,0;3,346;3,342;17,3;;0,0;;-1831,7;-3294,1;-5758,0;-9066,6;-13058,6;-16313,7;1;98,0;9;0;0;0;"N";0,0
2022-11-07 18:53:19;-36.782005;-73.086215;13;63.6;605.3;0.0;;;;;26700.0;0,0;0,0;0,0;57500;56000;0,000;56000;0;;1,4;25,0;24,0;3,348;3,344;3,6;;0,0;;-1831,7;-3294,1;-5758,0;-9066,6;-13058,6;-16313,7;1;98,0;9;0;0;0;"R";0,0
2022-11-07 18:53:18;-36.782005;-73.086215;13;63.6;605.3;0.0;;;;;26700.0;0,0;0,0;0,0;57500;56000;0,000;56000;0;;1,5;25,0;24,0;3,348;3,344;3,5;;0,0;;;;;;;;1;98,0;9;0;0;0;"N";0,0
2022-11-07 18:53:06;-36.782005;-73.086215;13;63.6;605.3;0.0;;;;;26700.0;0,0;0,0;0,0;56000;4399;0,000;4399;0;;0,8;25,0;24,0;3,349;3,345;0,4;;0,0;;-1831,7;-3294,1;-5758,0;-9066,6;-13058,6;-16313,7;1;98,0;9;0;0;0;"D";0,0
2022-11-07 18:52:56;-36.781997;-73.086393;13;63.6;605.3;0.0;;;;;;0,0;0,0;0,0;58500;58500;0,000;58500;0;;0,0;23,0;22,0;3,311;3,307;0,0;;0,0;0;-1831,7;-3294,1;-5758,0;-9066,6;-13058,6;-16313,7;0;98,0;9;0;0;0;"N";0,0
2022-11-07 17:50:58;-36.781997;-73.086393;13;50.4;605.3;0.0;;;;;26700.0;-0,5;0,0;-0,5;58500;58500;0,000;58500;0;;-28,6;23,0;22,0;3,311;3,307;0,0;;-245,8;0;-1831,7;-3294,1;-5758,0;-9066,6;-13058,6;-16313,7;0;98,0;9;0;0;0;"N";0,0
2022-11-07 17:49:58;-36.781997;-73.086393;13;50.0;605.3;0.0;;;;;26700.0;0,0;0,0;0,0;57500;57500;0,000;57500;0;;-28,6;23,0;22,0;3,303;3,299;0,0;;0,0;0;-1831,7;-3294,1;-5758,0;-9066,6;-13058,6;-16313,7;0;98,0;9;0;0;0;"N";0,0
2022-11-07 17:48:48;-36.781997;-73.086393;13;50.0;605.3;0.0;;;;;26700.0;-0,7;9,7;8,9;58000;58000;0,000;58000;0;;1,9;23,0;22,0;3,281;3,277;4869,5;;-376,1;;-1848,0;-3318,8;-5796,3;-9107,3;-13098,6;-16454,3;1;98,0;9;0;0;0;"N";0,0
2022-11-07 17:48:32;-36.781969;-73.086491;11;50.0;605.3;0.0;;;;;26700.0;-0,7;9,6;8,9;55000;55000;0,000;55000;0;;1,3;23,0;22,0;3,282;3,278;4855,8;;-376,1;;-1848,0;-3318,8;-5796,3;-9107,3;-13098,6;-16454,3;1;98,0;9;0;0;0;"D";0,0
2022-11-07 17:48:16;-36.781969;-73.086491;11;50.0;605.3;0.0;;;;;26700.0;-0,7;9,6;8,9;57500;57500;0,000;57500;0;;1,2;23,0;22,0;3,282;3,278;4853,0;;-376,1;0;-1848,0;-3318,8;-5796,3;-9107,3;-13098,6;-16454,3;0;98,0;9;0;0;0;"N";0,0
2022-11-07 17:47:16;-36.781969;-73.086491;11;50.0;605.3;0.0;;;;;26700.0;-0,7;9,6;8,9;56500;56500;0,000;56500;0;;1,2;23,0;22,0;3,281;3,277;4843,1;;-376,1;0;-1848,0;-3318,8;-5796,3;-9107,3;-13098,6;-16454,3;0;98,0;9;0;0;0;"N";0,0
