fecha_hora;lat;lon;altitud;SOC;odometro;vel;AC;calefaccion;cargando;km_restantes;carga_bat_aux;ah_generados;ah_consumidos;ah_efectivos;aislacion_negativa;aislacion_positiva;aislacion_pack_bateria;capacidad_actual;contador_peak;tiempo_peak_amperaje;corriente_instantanea;temp_maxima_celda;temp_minima_celda;vol_maximo_celda;vol_minimo_celda;pot_consumida_accesorios;pot_total_consumida;pot_total_generada;freno_servicio;pot_gen_freno_umbral_1;pot_gen_freno_umbral_2;pot_gen_freno_umbral_3;pot_gen_freno_umbral_4;pot_gen_freno_umbral_5;pot_gen_freno_umbral_6;switch_freno;SoH;ac_encendido;estado_compresor_ac;vel_crucero_activada;vel_crucero_seteada;marcha;porc_acelerador
2022-11-08 15:30:17;-36.781993;-73.086312;8;83.6;647.6;0.0;;;;;26700.0;0,0;0,0;0,0;56500;56500;0,000;56500;0;;-14,0;20,0;19,0;3,317;3,313;0,0;;0,0;0;-1889,5;-3361,5;-5911,4;-9368,4;-13546,2;-16989,6;0;98,0;0;1;0;0;"N";0,0
2022-11-08 15:26:04;-36.781993;-73.086312;8;83.6;647.6;0.0;;;;;27100.0;0,0;0,0;0,0;56500;56500;0,000;56500;0;;2,7;20,0;19,0;3,317;3,312;23,6;;0,0;;-1889,5;-3361,5;-5911,4;-9368,4;-13546,2;-16989,6;1;98,0;0;1;0;0;"N";0,0
2022-11-08 15:25:47;-36.781993;-73.086312;8;83.6;647.6;0.0;;;;;27100.0;0,0;0,0;0,0;59000;59000;0,000;59000;0;;3,7;20,0;19,0;3,316;3,312;10,6;;0,0;;-1889,5;-3361,5;-5911,4;-9368,4;-13546,2;-16989,6;1;98,0;0;1;0;0;"D";0,0
2022-11-08 15:25:42;-36.781993;-73.086312;8;83.6;647.6;2.0;;;;;27100.0;0,0;0,0;0,0;57500;57500;0,000;57500;0;;3,4;20,0;19,0;3,317;3,312;7,7;;0,0;;-1889,5;-3361,5;-5911,4;-9368,4;-13546,2;-16989,6;1;98,0;0;1;0;0;"N";0,0
2022-11-08 15:25:29;-36.781961;-73.086376;11;83.6;647.6;0.0;;;;;27100.0;0,0;0,0;0,0;56000;56000;0,000;56000;0;;1,3;20,0;19,0;3,319;3,314;0,5;;0,0;;-1889,5;-3361,5;-5911,4;-9368,4;-13546,2;-16989,6;1;98,0;0;1;0;0;"R";0,0
2022-11-08 15:25:19;-36.781958;-73.086353;10;83.6;647.6;0.0;;;;;;0,0;0,0;0,0;56500;56500;0,000;56500;0;;0,0;20,0;19,0;3,315;3,311;0,0;;0,0;0;;;;;;;0;98,0;0;0;0;0;"N";0,0
2022-11-08 15:22:59;-36.781964;-73.086342;10;83.6;647.6;0.0;;;;;27100.0;0,0;0,1;0,1;56500;56500;0,000;56500;0;;2,7;20,0;19,0;3,315;3,31;30,1;;0,0;;;;;;;;1;98,0;0;1;0;0;"N";0,0
2022-11-08 15:22:33;-36.78185;-73.086619;8;83.6;647.5;0.0;;;;;27100.0;0,0;0,0;0,0;56000;56000;0,000;56000;0;;3,3;20,0;19,0;3,315;3,311;3,7;;0,0;;;;;;;;1;98,0;0;1;0;0;"D";0,0
2022-11-08 15:22:27;-36.78185;-73.086619;8;83.6;647.5;0.0;;;;;27100.0;0,0;0,0;0,0;56000;56000;0,000;56000;0;;1,4;20,0;19,0;3,317;3,313;0,4;;0,0;;;;;;;;1;98,0;0;1;0;0;"R";0,0
2022-11-08 15:22:17;-36.78185;-73.086619;8;83.6;647.5;0.0;;;;;;0,0;0,0;0,0;56000;56000;0,000;56000;0;;0,0;20,0;19,0;3,312;3,307;0,0;;0,0;0;-1889,5;-3361,5;-5911,4;-9368,4;-13546,2;-16989,6;0;98,0;0;0;0;0;"N";0,0
2022-11-08 15:18:11;-36.78185;-73.086619;8;83.6;647.5;3.0;;;;;27100.0;-0,5;10,2;9,7;55500;55500;0,000;55500;0;;2,7;20,0;19,0;3,31;3,305;5146,8;;-247,8;;-1894,0;-3366,5;-5922,2;-9391,6;-13597,1;-17041,1;1;98,0;0;1;0;0;"N";0,0
2022-11-08 15:18:07;-36.78185;-73.086619;8;83.6;647.5;0.0;;;;;27100.0;-0,5;10,2;9,7;55500;55500;0,000;55500;0;;2,3;20,0;19,0;3,31;3,305;5144,2;;-247,8;;-1894,0;-3366,5;-5922,2;-9391,6;-13597,1;-17041,1;1;98,0;0;1;0;0;"D";0,0
2022-11-08 15:18:03;-36.78185;-73.086619;8;83.6;647.5;1.0;;;;;27100.0;-0,5;10,2;9,7;59500;59500;0,000;59500;0;;2,4;20,0;19,0;3,308;3,303;5142,7;;-247,8;;-1894,0;-3366,5;-5922,2;-9391,6;-13597,1;-17041,1;1;98,0;0;1;0;0;"N";0,0
2022-11-08 15:17:45;-36.781888;-73.086618;6;83.6;647.5;0.0;;;;;27100.0;-0,5;10,1;9,7;56500;56500;0,000;56500;0;;2,5;20,0;19,0;3,309;3,304;5131,0;;-247,8;;-1894,0;-3366,5;-5922,2;-9391,6;-13597,1;-17041,1;1;98,0;0;1;0;0;"R";0,0
2022-11-08 15:17:44;-36.781888;-73.086618;6;83.6;647.5;1.0;;;;;27100.0;-0,5;10,1;9,7;56500;56500;0,000;56500;0;;3,3;20,0;19,0;3,308;3,303;5130,8;;-247,8;;-1894,0;-3366,5;-5922,2;-9391,6;-13597,1;-17041,1;1;98,0;0;1;0;0;"N";0,0
2022-11-08 15:17:40;-36.781887;-73.086614;7;83.6;647.5;0.0;;;;;27100.0;-0,5;10,1;9,6;55000;55000;0,000;55000;0;;2,0;20,0;19,0;3,309;3,305;5127,0;;-247,8;;;;;;;;1;98,0;0;1;0;0;"N";0,0
2022-11-08 15:17:39;-36.781887;-73.086614;7;83.6;647.5;0.0;;;;;27100.0;-0,5;10,1;9,6;55000;55000;0,000;55000;0;;2,1;20,0;19,0;3,309;3,305;5126,7;;-247,8;;-1894,0;-3366,5;-5922,2;-9391,6;-13597,1;-17041,1;1;98,0;0;1;0;0;"N";0,0
2022-11-08 15:17:15;-36.781816;-73.086845;6;83.6;647.5;0.0;;;;;27100.0;-0,5;10,1;9,6;56000;56000;0,000;56000;0;;1,7;20,0;19,0;3,309;3,304;5109,3;;-247,8;;-1894,0;-3366,5;-5922,2;-9391,6;-13597,1;-17041,1;1;98,0;0;1;0;0;"D";0,0
2022-11-08 15:16:38;-36.782032;-73.086839;6;83.6;647.5;21.0;;;;;27100.0;-0,5;10,1;9,6;55500;55500;0,000;55500;0;;-13,8;20,0;19,0;3,318;3,314;5101,8;;-247,4;;-1894,0;-3366,5;-5911,4;-9391,6;-13597,1;-17041,1;1;98,0;0;0;0;0;"N";0,0
2022-11-08 15:15:57;-36.782441;-73.088052;11;83.6;647.1;57.0;;;;;27100.0;-0,3;9,9;9,5;59000;59000;0,000;59000;0;;79,5;20,0;19,0;3,248;3,235;4991,7;;-159,9;0;-1889,5;-3361,5;-5901,0;-9368,4;-13546,2;-16989,6;0;98,0;0;1;0;0;"D";60,0
2022-11-08 15:14:57;-36.782648;-73.086795;15;84.0;646.4;64.0;;;;;27100.0;-0,2;9,3;9,1;58000;58000;0,000;58000;0;;-15,9;20,0;19,0;3,287;3,282;4706,3;;-90,7;0;-1887,0;-3360,2;-5896,2;-9360,0;-13521,9;-16965,8;0;98,0;0;0;0;0;"D";0,0
2022-11-08 15:13:57;-36.785097;-73.075388;11;84.4;645.4;54.0;;;;;27100.0;-0,2;8,3;8,1;58500;58500;0,000;58500;0;;1,4;20,0;19,0;3,281;3,275;4194,5;;-88,3;0;-1887,0;-3360,2;-5896,2;-9360,0;-13521,9;-16965,8;0;98,0;0;0;0;0;"D";1,0
2022-11-08 15:12:57;-36.79071;-73.070723;8;84.4;644.5;54.0;;;;;27100.0;-0,1;7,6;7,5;57500;57500;0,000;57500;0;;-11,3;20,0;19,0;3,305;3,3;3855,7;;-64,0;0;-1884,8;-3359,3;-5892,7;-9353,6;-13517,2;-16965,8;0;98,0;0;1;0;0;"D";0,0
2022-11-08 15:11:57;-36.797367;-73.062155;27;84.8;643.4;57.0;;;;;27100.0;-0,1;7,0;6,9;58000;58000;0,000;58000;0;;9,4;20,0;19,0;3,288;3,283;3541,5;;-50,6;0;-1884,8;-3359,3;-5892,7;-9353,6;-13517,2;-16965,8;0;98,0;0;1;0;0;"D";16,0
2022-11-08 15:10:57;-36.799048;-73.05023;19;85.2;642.3;91.0;;;;;27100.0;-0,1;6,3;6,2;57000;57000;0,000;57000;0;;88,5;20,0;18,0;3,232;3,219;3181,9;;-27,2;0;-1884,8;-3359,3;-5892,7;-9353,6;-13517,2;-16965,8;0;98,0;0;0;0;0;"D";67,0
2022-11-08 15:09:57;-36.804862;-73.038666;19;85.6;641.0;82.0;;;;;27100.0;-0,1;4,9;4,8;57500;57500;0,000;57500;0;;104,0;19,0;18,0;3,226;3,212;2458,7;;-27,2;0;-1884,8;-3359,3;-5892,7;-9353,6;-13517,2;-16965,8;0;98,0;0;1;0;0;"D";68,0
2022-11-08 15:07:57;-36.817266;-73.015322;8;87.2;638.5;73.0;;;;;27100.0;0,0;2,2;2,1;57000;57000;0,000;57000;0;;44,8;19,0;18,0;3,267;3,259;1102,4;;-24,2;0;-1884,8;-3359,3;-5892,7;-9353,6;-13517,2;-16965,8;0;98,0;0;0;0;0;"D";45,0
2022-11-08 15:06:57;-36.819839;-73.002909;9;87.6;637.3;55.0;;;;;27100.0;0,0;1,1;1,1;56000;56000;0,000;56000;0;;-0,7;19,0;18,0;3,312;3,307;561,6;;-24,2;0;-1884,8;-3359,3;-5892,7;-9353,6;-13517,2;-16965,8;0;98,0;0;1;0;0;"D";16,0
2022-11-08 15:05:57;-36.821437;-72.99621;11;88.0;636.6;13.0;;;;;27100.0;0,0;0,4;0,4;55000;55000;0,000;55000;0;;34,3;19,0;18,0;3,299;3,293;203,1;;-13,0;0;-1884,8;-3359,3;-5892,7;-9353,6;-13517,2;-16965,8;0;98,0;0;1;0;0;"D";53,0
2022-11-08 15:04:57;-36.822147;-72.998786;16;88.0;636.3;19.0;;;;;27100.0;0,0;0,2;0,2;55500;55500;0,000;55500;0;;57,4;19,0;18,0;3,288;3,279;113,2;;0,0;0;-1884,8;-3359,0;-5892,2;-9352,1;-13514,5;-16961,1;0;98,0;0;1;0;0;"D";59,0
2022-11-08 15:03:57;-36.82152;-72.998947;13;88.0;636.2;0.0;;;;;27100.0;0,0;0,0;0,0;54500;54500;0,000;54500;0;;0,9;19,0;18,0;3,32;3,316;20,2;;0,0;;-1884,8;-3359,0;-5892,2;-9352,1;-13514,5;-16961,1;1;98,0;0;0;0;0;"D";0,0
2022-11-08 15:03:35;-36.82152;-72.998947;13;88.0;636.2;0.0;;;;;27100.0;0,0;0,0;0,0;57000;57000;0,000;57000;0;;0,8;19,0;18,0;3,32;3,316;15,7;;0,0;0;-1884,8;-3359,0;-5892,2;-9352,1;-13514,5;-16961,1;0;98,0;0;0;0;0;"N";0,0
2022-11-08 15:02:35;-36.82152;-72.998947;13;88.0;636.2;1.0;;;;;27100.0;0,0;0,0;0,0;56000;56000;0,000;56000;0;;2,8;19,0;18,0;3,318;3,314;3,5;;0,0;;-1884,8;-3359,0;-5892,2;-9352,1;-13514,5;-16961,1;1;98,0;0;1;0;0;"N";0,0
2022-11-08 15:02:28;-36.821506;-72.998953;11;88.0;636.2;0.0;;;;;27100.0;0,0;0,0;0,0;59999;59999;0,000;59999;0;;0,0;19,0;18,0;3,321;3,317;0,0;;0,0;;-1884,8;-3359,0;-5892,2;-9352,1;-13514,5;-16961,1;1;98,0;0;1;0;0;"D";0,0
2022-11-08 15:02:21;-36.821506;-72.998953;11;88.0;636.2;0.0;;;;;;0,0;0,0;0,0;56000;58000;0,000;56000;0;;0,0;19,0;18,0;3,31;3,306;0,0;;0,0;0;;;;;;;0;98,0;0;0;0;0;"N";0,0
2022-11-08 14:50:51;-36.821506;-72.998953;11;88.0;636.2;0.0;;;;;27100.0;-0,3;6,2;5,8;56000;58000;0,000;56000;0;;2,7;19,0;18,0;3,31;3,306;3138,0;;-173,6;;-1889,5;-3364,3;-5899,2;-9371,3;-13548,2;-17036,8;1;98,0;0;1;0;0;"N";0,0
2022-11-08 14:50:26;-36.821531;-72.998852;11;88.0;636.2;0.0;;;;;27100.0;-0,3;6,1;5,8;57000;59000;0,000;57000;0;;2,0;19,0;18,0;3,31;3,306;3126,4;;-173,6;;-1889,5;-3364,3;-5899,2;-9371,3;-13548,2;-17036,8;1;98,0;0;1;0;0;"R";0,0
2022-11-08 14:49:31;-36.821531;-72.998836;11;88.0;636.2;0.0;;;;;27100.0;-0,3;6,1;5,8;57500;59500;0,000;57500;0;;2,5;19,0;18,0;3,306;3,302;3116,4;;-173,6;;-1889,5;-3364,3;-5899,2;-9371,3;-13548,2;-17036,8;1;98,0;0;1;0;0;"N";0,0
2022-11-08 14:49:25;-36.821521;-72.998838;10;88.0;636.1;0.0;;;;;27100.0;-0,3;6,1;5,8;56000;58000;0,000;56000;0;;1,5;19,0;18,0;3,307;3,302;3112,0;;-173,6;;-1889,5;-3364,3;-5899,2;-9371,3;-13548,2;-17036,8;1;98,0;0;0;0;0;"N";0,0
2022-11-08 14:49:04;-36.821987;-72.998877;13;88.0;636.1;9.0;;;;;27100.0;-0,3;6,1;5,8;58500;59000;0,000;58500;0;;2,4;19,0;18,0;3,305;3,3;3106,0;;-173,6;;-1889,5;-3364,3;-5899,2;-9371,3;-13548,2;-17036,8;1;98,0;0;1;0;0;"D";0,0
