fecha_hora;lat;lon;altitud;SOC;odometro;vel;AC;calefaccion;cargando;km_restantes;carga_bat_aux;ah_generados;ah_consumidos;ah_efectivos;aislacion_negativa;aislacion_positiva;aislacion_pack_bateria;capacidad_actual;contador_peak;tiempo_peak_amperaje;corriente_instantanea;temp_maxima_celda;temp_minima_celda;vol_maximo_celda;vol_minimo_celda;pot_consumida_accesorios;pot_total_consumida;pot_total_generada;freno_servicio;pot_gen_freno_umbral_1;pot_gen_freno_umbral_2;pot_gen_freno_umbral_3;pot_gen_freno_umbral_4;pot_gen_freno_umbral_5;pot_gen_freno_umbral_6;switch_freno;SoH;ac_encendido;estado_compresor_ac;vel_crucero_activada;vel_crucero_seteada;marcha;porc_acelerador
2022-11-26 15:24:13;-36.781959;-73.086268;1;39.2;2118.0;0.0;;;;;26700.0;0,0;0,1;0,1;56000;57500;0,000;56000;0;;1,7;23,0;21,0;3,288;3,285;50,1;50,1;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;1;98,0;9;0;0;0;"D";0,0
2022-11-26 15:23:59;-36.781966;-73.086351;4;39.2;2118.0;0.0;;;;;26700.0;0,0;0,1;0,1;58500;56000;0,000;56000;0;;1,4;23,0;21,0;3,288;3,285;45,7;45,7;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;1;98,0;9;0;0;0;"N";0,0
2022-11-26 15:23:25;-36.781782;-73.086813;9;39.2;2118.0;0.0;;;;;26700.0;0,0;0,1;0,1;58000;59500;0,000;58000;0;;0,9;23,0;21,0;3,29;3,286;30,6;30,6;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;1;98,0;9;0;0;0;"D";0,0
2022-11-26 15:23:24;-36.781782;-73.086813;9;39.2;2118.0;0.0;;;;;26700.0;0,0;0,1;0,1;58000;59500;0,000;58000;0;;1,1;23,0;21,0;3,289;3,286;30,5;30,5;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;1;98,0;9;0;0;0;"N";0,0
2022-11-26 15:23:23;-36.781782;-73.086813;9;39.2;2118.0;0.0;;;;;26700.0;0,0;0,1;0,1;56500;59500;0,000;56500;0;;1,3;23,0;21,0;3,289;3,286;30,4;30,4;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;1;98,0;9;0;0;0;"R";0,0
2022-11-26 15:22:57;-36.781782;-73.086813;9;39.2;2118.0;0.0;;;;;26700.0;0,0;0,1;0,1;57500;55000;0,000;55000;0;;0,2;23,0;21,0;3,29;3,286;29,1;29,1;0,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0;98,0;9;0;0;0;"N";0,0
2022-11-26 15:21:57;-36.781782;-73.086813;9;39.2;2118.0;1.0;;;;;26700.0;0,0;0,1;0,1;58000;59500;0,000;58000;0;;1,7;23,0;21,0;3,288;3,285;25,7;25,7;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;1;98,0;9;0;0;0;"N";0,0
2022-11-26 15:21:30;-36.781782;-73.086813;9;39.2;2118.0;0.0;;;;;26700.0;0,0;0,0;0,0;57500;55000;0,000;55000;0;;1,6;23,0;21,0;3,289;3,285;14,5;14,5;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;1;98,0;9;0;0;0;"R";0,0
2022-11-26 15:21:22;-36.781782;-73.086813;9;39.2;2118.0;0.0;;;;;;0,0;0,0;0,0;56000;59000;0,000;56000;0;;3,3;23,0;21,0;3,288;3,284;11,0;11,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;1;98,0;9;0;0;0;"N";0,0
2022-11-26 15:21:17;-36.781782;-73.086813;9;39.2;2118.0;0.0;;;;;;0,0;0,0;0,0;56000;57500;0,000;56000;0;;3,4;23,0;21,0;3,288;3,285;8,3;8,3;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;1;98,0;9;0;0;0;"R";0,0
